,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61,PC 62,PC 63,PC 64,PC 65,PC 66,PC 67,PC 68,PC 69,PC 70,PC 71,PC 72,PC 73,PC 74,PC 75,PC 76,PC 77,PC 78,PC 79,PC 80
cds_length,-0.016649191689017892,-0.01602107338352994,0.102404801060641,-0.012660542611227668,0.05374416778148889,0.012425144869258588,0.034494397782171414,-0.06590996353483267,-0.02848116944269708,-0.16128243523569746,-0.17234422032222776,0.228831584655869,0.117174774080336,0.04441084540439712,-0.006396754636133629,-0.08307683421313382,0.6616602360921163,0.4904902925715954,0.003981120368643774,0.020825185736397155,-0.23344126295349107,0.05297815116564059,0.25858129172516975,0.11000368682621577,0.055625040890819676,0.04374166366027916,-0.10328754601904534,0.02926012071086109,0.019869222105822627,-0.01051825569788011,0.04772357518828264,-0.01946179278130295,0.02657412996927373,-0.025807582723394295,0.03459423367839104,0.020054215437688157,-0.024275488377838397,-0.005814011776517158,0.04643004378167691,0.03227348788204602,-0.02646038048838962,-0.04363361036550342,0.0188695892143415,-0.011473592095634874,-0.004003617405026379,0.009124535667619203,-0.021282642524755143,-0.01824235127764796,0.027425706066335195,0.007426911688776253,0.004007253474612686,-0.02135923382085773,0.01212756271531241,0.000444349618284487,-0.01184429873659772,-0.013205076545688766,-0.018375956185718446,-0.0048457858005695595,-0.01379260592237764,0.008215088753601158,-0.012808210547837305,0.006919763275797897,-0.009117084589405201,-0.00528683169728212,0.0016751839868462044,0.017754756305004157,0.0009157137532666333,0.0041839162509626745,0.011052779790758901,3.0240177653676883e-05,-0.0025096248657043565,0.00215180499315305,0.0005142352758750849,0.0001679626246715218,0.0001903850900313442,0.0010048834185902404,0.00047347032853921437,-0.0003351827429214258,-7.889319146194183e-05,-2.0352779476928353e-16
dnase_gene,0.14898318536282407,-0.04178817491397145,-0.11064513766574036,0.09550481913070329,0.05008414850108679,-0.008039997883578821,-0.0010652859828027272,0.021605107894003703,0.05084255190544652,0.008534764063559713,0.020284279814828138,-0.06497527143791512,-0.033546149189640224,-0.04192318403198376,-0.053890164480608876,0.0899243138779753,-0.07035133590613768,0.12346431584291379,0.004984614795171569,0.0017827455588194088,0.020340119577771695,-0.0572451222748981,0.02196656079964962,0.11416337930163364,-0.014067664637195137,-0.01843998682388513,-0.1120751956805363,-0.054798018546822584,-0.27995870478846546,-0.03423522185817903,0.3276185095783409,-0.10307474926121588,0.1409392386107488,0.15700772381244224,-0.08847232657425273,-0.09162132871477864,0.02151614371486391,-0.11523117072784853,-0.13617491575065763,0.008046427721054256,-0.020113231324762382,-0.007009148926340247,0.01070398185024958,0.0005755523421540083,0.01443570661057077,-0.01558673782653646,0.08664077841661799,-0.11177121960679991,0.016026013549742188,0.006826484552234568,0.08671454850857417,0.07539368844826637,0.2096431627418994,-0.3667756239862817,-0.09044163191179176,-0.23671774596076584,-0.05428988186945121,-0.019031655144094703,-0.04771186786595316,-0.0009651800058454677,-0.06176463068108777,0.5449393772263558,-0.01777063639563911,0.03923731361527021,-0.03006696733828931,0.004713783609980236,0.0003407792826800927,-0.0017237832405425958,-0.0012531880580323382,0.0009564526376322317,-0.0006324933616945862,-0.001164735324411551,-0.00027745686474631636,0.00023072290131097788,-0.00026564557510602574,0.00037066408095623384,9.431731046147642e-05,-8.698269371512288e-05,-4.892593547055026e-05,2.7153396715523724e-16
dnase_cds,0.14374806737213064,-0.03769904643142617,-0.07543606050362378,0.04865360313982836,0.03724520422003838,-0.02394066326308541,-0.022219409000049144,0.011360919872765038,0.023779510408884444,-0.017789348402043437,-0.08100710276443909,-0.07091208896647216,-0.058366068424818174,-0.015103842830323804,-0.08561859578999119,0.07281677309781634,-0.10258581233733104,0.1254030867888961,0.034589277094850844,0.06696802358480014,0.005694838130353833,-0.11368447321883592,0.015616958208028525,0.13673342832409668,0.04950726015568449,0.022252972223429333,-0.1768127839383839,-0.11041213491773288,-0.38576201921030734,-0.04553247794788397,0.4033010851793276,0.004823079573155378,0.0867177081016863,0.19056666438682918,-0.16782860694330656,-0.09721592876950232,0.04772449928004391,-0.15543367471504668,-0.05152960421771535,0.058481288566470904,-0.003204011066759563,-0.016497478142337728,-0.006633460645986158,-0.12671750472895252,-0.05095749097230225,0.04941523020447521,-0.09949556918962692,0.006793758814701418,0.06684842459670515,-0.04006577406496657,-0.11362868632333786,-0.046101916363135154,-0.17443053811799414,0.3108869033639015,0.06322795727574249,0.17037004631424274,0.04510394523183875,0.039357138914803975,0.05398810204317261,0.009425433543419657,0.07464777125386626,-0.4173257126164366,-0.0021947870569179427,-0.032393854931581444,0.0284770316602779,-0.0006211480401122488,-0.002114521477627897,0.0008300289714880428,-0.0026605658867243052,-0.00035402332337601896,0.001246005187826714,0.00045253863029624114,0.0003177162973274125,-0.0009721293362196704,0.0009237065949932251,-0.0005176427453612532,-7.608338560106476e-05,0.00017850738029082157,7.867454532706252e-05,-2.981899139000555e-16
H3k4me1_gene,0.07683483177422569,-0.09001070512963844,-0.18435419804662295,0.31768567464497666,0.0914692446481853,0.04268747439482634,0.019043198712163256,0.0021438409063929686,0.0026181723329810544,7.03661508428266e-05,0.022791809716390832,0.004821742338420365,0.02468371788962931,-0.005372081795116834,-0.041148016373436076,-0.05006586196667019,0.020642577592308878,-0.12053772822883346,0.021595178518237126,0.003539370990037786,-0.0993544219487487,-0.05259400855945588,0.11578787203424254,0.37165470629546105,-0.27118246654282646,0.05877700429913575,0.15801407040567106,0.030168178930568886,0.030959731096991027,0.007162177150151997,-0.05237457460944972,0.014845302899084083,-0.05636559502922483,-0.02179402379122526,0.04240051714379325,0.02559250965543808,-0.011890637805811656,0.0034103443689871265,0.006747166079129174,-0.01706009867389781,-0.01726200841585289,-0.0034489698872874064,-0.009155518850640115,0.025033514984295416,0.013544172376768185,-0.010197443222988219,0.03999271830492668,-0.016530917735189443,-0.014074836167332863,0.006139696304411978,0.04629253465986981,0.042880143938410484,0.1001014611898954,-0.17188168047187913,-0.05232701940434225,-0.13182655809633131,-0.007822592869572806,0.05162242426134632,0.012686963941619667,-0.002694495872456862,0.027098598268706614,-0.354863155564112,-0.013314760755896285,0.4679639735855441,-0.3553613363079203,-0.0009027479974308,0.0016530952485447458,-0.0007814877832642772,5.4143193070094187e-05,-0.0006051302123095783,-0.0009886306266498248,-0.0006277774225179507,0.0018496798260856304,0.0003216240985869334,-8.459054624164117e-05,-0.0002573534522035499,-0.00036385355044591923,0.00017470764635833498,0.00039277608897012826,6.694802159971268e-17
H3k4me3_gene,0.05603464043852866,-0.10618103896600983,-0.2385439383216575,0.2404707917656283,0.0987829889498548,0.05815724337153686,-0.005510252102944757,-0.03252012493021697,0.13254958058594318,-0.01037185287919672,0.16213445260208645,-0.08525630371638801,-0.056185072932515304,0.1718184917544917,-0.006444443179238067,-0.015974368204348267,-0.1036673987990997,0.14496865673902315,0.18693184625460857,-0.022976253216070972,-0.19068748730982135,0.06285348485488043,0.0738613343736454,-0.2543236342706675,0.1455086425493398,0.04366945860125794,-0.10060809241858926,0.09714876492348716,0.06825877548539039,0.005520808752626208,-0.060583672604389155,-0.055113159542257185,0.017016140392972046,-0.021281187348770835,0.026854180401322435,-0.029344066181664526,-0.05677890406161534,0.0073374244225796696,0.01747543902245527,-0.02048620061920786,-0.004468244829110853,0.03417504522278962,-0.007107123442682391,-0.004645916810779527,0.0008456656830567767,-0.062102594493896865,0.06969423184932849,-0.030228578405483805,-0.02999580233709813,0.012661393037266147,0.06310824415035994,0.04110955590272676,0.13630006550793858,-0.21387430357563303,-0.05740150197691542,-0.15447589353964764,-0.0008301475679588222,0.0639309011643989,0.08352051653335345,0.02598252056731007,0.047245068549349775,-0.31366536653467414,0.03276939833243011,-0.5472527075677263,-0.11028407110340342,0.012358849322015558,-0.004034728189843199,0.0013745375515387195,-0.0022166164480606904,0.0035223083218223847,0.0006466578014957779,0.0015301339121634866,-0.0016279486177214523,0.0009170782926232299,-6.103759234222378e-05,5.567933539440441e-05,-5.486938007888452e-05,7.455579355000871e-05,0.0007766320432907271,-4.133212099620041e-17
H3k27ac_gene,0.06748501695702447,-0.08956900553372255,-0.1468404638621179,0.33204786723853125,0.08362471044939285,0.0025047232067653274,0.05276204829594833,-0.017078065926041053,0.02036568845868232,-0.01910813419545898,-0.015160900067816091,0.06261092574480834,0.11024312084269122,0.020380401469754044,0.03210233841173133,-0.12806390651344968,0.2534040543436786,-0.16028948788694683,-0.22630950548755022,0.03474412697057366,0.22931463484225553,0.03142347273022358,-0.20570250701122827,-0.16024481746873775,0.1191924202701544,-0.06837068320645855,-0.018661860429362964,-0.06569997179380843,-0.03184556172659461,0.004290893297097443,0.02575238007276605,0.00836806288804609,0.02273654627528355,0.01692909658031619,0.005036453359164389,-0.0064443894908911975,0.011695025875474496,-0.002214009851229286,-0.046029262426132964,-0.008708479065768146,0.007414576790107222,-0.0005471618301671477,0.009538509460629174,0.014323570022103535,-0.001960020302438548,0.0016203130502681906,0.007744976775143325,-0.022369594337911122,0.0035172512473522766,0.016055609615729244,0.050722843563444794,0.05177003075926548,0.06331786120764393,-0.14776961307016,-0.044600810664778986,-0.09412314268373163,0.007640650931946824,0.014439003858641296,0.01485381197293345,-0.0037282561610675197,0.01693802056318368,-0.20129042535653321,0.0033871934276830246,0.15762129243736156,0.6394280855482186,-0.0016151522164446486,0.0014662216380783386,-0.0035930489433199583,0.0015958750614327166,0.0007894118189322566,0.0005435295381994443,-0.0007939353734018953,-0.0001230524733266099,-0.0006781297559708764,-0.0004313774263889343,0.0006239994814701989,-0.000297214788839535,-0.00023825103475095394,0.00016993219123914239,2.455748142831117e-16
H3k4me1_cds,0.07532504118593024,-0.08152553233484201,-0.1822736189088548,0.29747606278985683,0.08274304050357073,0.05068279561304391,-0.0012937136252406077,0.0003496172709595846,-0.007298028007733784,0.009954761685888824,0.0428596673593786,-0.003742046532651394,-0.005103625086939845,0.025566113416332786,-0.054982771266052756,-0.05135797146500126,0.009684372213676413,-0.13706065636047765,0.029602620406300212,0.029834831302965048,-0.13709892838130713,-0.077495227741367,0.14589375855547426,0.4234742335471642,-0.29508700687569084,0.054524491187148874,0.18251517871274944,0.019008482757666856,0.025923121670155924,0.014242818209820875,-0.061976667908118295,0.044308616431156855,-0.09570126651374167,-0.03495944075505422,0.031835671228106335,0.045759273981288116,-0.0033203423386127667,0.028136142392809455,0.049902111574437705,-0.016932511036080497,-0.003058810021463,-0.016132624261951875,-0.0010412984922612278,-0.011568654814728699,-0.006259280112877866,0.005963953691137933,-0.040636226717176496,0.03701957152483186,0.009528272578161703,-0.022319978760001774,-0.05539019821516378,-0.04718883764428274,-0.11978500064906442,0.20205011623811028,0.054807174754952406,0.14873253586573115,0.011701444614108936,-0.0394301928198426,-0.017027070528561533,0.007706827730142252,-0.022648520080916654,0.3028079503980021,0.00014561421943076747,-0.4121492772365055,0.3175833843943466,0.0007007977954758826,-0.001539987644346574,4.434271074175988e-05,-0.0007507478822220692,0.0014474670429311547,0.0021607736161425445,0.0013837568003421813,-0.0016199364581678446,0.00012367337296504246,-0.00010355761929216984,-0.00022855592550594106,0.0006646560250661657,0.00015080780212227939,-0.0002970228622501251,1.9812270640746162e-17
H3k4me3_cds,0.05560935044861393,-0.1000191144428453,-0.2465462796189466,0.19050949145833596,0.09000075368513405,0.05865795618448294,-0.026201518763411286,-0.03652870513518863,0.1312199503191874,-0.0035800414801844815,0.16280213513788694,-0.10954258291866255,-0.09346762671805565,0.21045426221266186,-0.027011217263562603,-0.025623432587226106,-0.12655760140818978,0.16868903282249093,0.21328319347292055,0.018427368743168995,-0.22123639390979008,0.05209520839190349,0.08611118537473256,-0.26843313976075356,0.18201834039083217,0.03212367456507703,-0.11516448078451885,0.09203930615112996,0.06704716017239046,0.006299076715781959,-0.07181759960144643,-0.021094472491854352,-0.01531545321587804,-0.04697013173466491,0.015357951874090121,-0.02344460283829921,-0.04395684826744804,0.026787040583751663,0.06773019156489356,0.012223883917389017,0.014340627816839653,0.021661626822889496,0.005343481341190804,-0.03497345976998578,-0.02635528624833184,-0.019497638125319287,-0.028506478349699483,0.05261466553328379,0.015479896937036376,-0.003743397136961776,-0.05617616731323225,-0.07056669355077588,-0.1230054178083456,0.23972685314356004,0.08753020420195029,0.1661923073952723,-0.03841990511942606,-0.047571042646051734,-0.09935195339425373,0.0022744040954872785,-0.062177262293930446,0.2610157410360014,-0.033721139040522735,0.4985056620943856,0.09923885556999541,-0.004432018276354477,0.0007569703684887803,-0.004562991724828769,-0.0036889803481335304,-0.004079443471543721,-0.00014005149809011297,-0.001891479809882149,0.0011345575422400753,-0.0010666411760143196,0.00045968782322950656,-0.00022199458881383416,-0.0001069737608873772,-0.0007243398957134566,-5.161285349782182e-05,3.512757363031647e-17
H3k27ac_cds,0.0673758092928767,-0.08728675018784483,-0.14531450580072455,0.3199482297431784,0.0782703625147371,0.0011273687027293644,0.03457951368862783,-0.021397769725200508,0.007811537394866608,-0.01767035583220987,-0.01920020185098109,0.06547118002670987,0.10488736429354512,0.03757885376224909,0.03281547192959047,-0.1412079470028693,0.26518107477152947,-0.1775859840234091,-0.23099898298398486,0.06457973998155887,0.2377877763294652,0.026099846051291845,-0.20911610550318427,-0.1642563855870705,0.1493670524797032,-0.08569818032686102,-0.025412576214975495,-0.08886422355770944,-0.033957313068565725,0.0022548108130108577,0.024446939189827738,0.036704477324242146,0.0037496410952503473,0.017367979028160688,-0.006538800203040825,0.0069732279957927246,0.02762597783061107,0.0012712020856767078,-0.018432760317150687,0.004678147147743603,0.023369330201949076,-0.009645498829518262,0.014177261455137619,-0.012936812425891283,-0.013084601962840463,0.038539715417548914,-0.05580232546251413,0.027919679722989026,0.035514822125894144,-0.010670418043827706,-0.036830691832354656,-0.029345535774869886,-0.11039715053520611,0.1825669489622237,0.04597745203432426,0.12511306994155727,0.022622194084595253,-0.04870762268270369,-0.013940404850838391,-0.030582236637394254,-0.00966557430831265,0.22030180141394637,-0.00015704228262486408,-0.15102375504918347,-0.5822625051996025,-0.004166140188672507,0.00082267742323687,0.005022208116405566,-0.00042746591925099664,-0.0017830430496842925,-0.0008732231180327218,0.0003629573623053148,0.000336626278544307,0.00027501884133650494,0.00016526393250005083,-0.0005106115802810188,0.00022500011051394125,0.00036754794544510087,-0.000474462179686302,-4.609663584614463e-16
lamin_gene,-0.045701022893807355,0.06800032416350225,0.052664594327829245,-0.15238467263637406,-0.00205800425797667,-0.033249531778452676,-0.12102923104609864,-0.02736231994755317,-0.15131535276347186,0.017070157904835848,0.30987396890791036,-0.13163706289948982,-0.18400296222452775,0.3145641442878717,-0.11026615998953798,-0.2851294717625695,0.03389574975111432,0.1203394069822855,-0.24647102618442734,0.24547390386811543,-0.07257686149689743,-0.003761938044634046,-0.1701321980671249,0.05930040689883989,0.007253009769088487,0.05444013299354605,0.13530077516497419,-0.01413528834158257,-0.2763273981845981,0.10013079725540068,0.08654738661108602,-0.07626374238131876,-0.16737053555011583,0.04888142062305041,0.3853687159817253,0.20578035971851122,-0.21672429338751276,-0.04200025685737729,-0.04110188624562355,-0.10683808323222237,0.03607732298372392,0.027870229153006937,-0.030539524925627226,-0.05154068852158286,0.01659455506487463,-0.00987950161296669,0.03214667699064387,0.005814279241615719,0.0006583733888971544,-0.010930741407474444,0.0017852473939587478,0.011602020832365861,0.018600967197542097,-0.006717261479582133,-0.011187793293803094,-0.02282071021428765,0.005856525619523531,0.01818179272261489,0.01013407552405006,0.007035019960004118,0.003912251945455327,-0.015603566827010477,-0.0009665086171318608,0.005716963820396999,-0.007747662309825008,0.004575513514284091,0.00011588557454608045,-0.0005147519963879382,-0.0007789948692226711,-0.0011684978419451292,0.0006788922618448726,-0.0006901416172862898,-0.0005475584719810793,0.0011554127855881655,0.0005305973582223184,0.0002573177437065928,2.4449147050797926e-05,-0.0001849015580993093,0.00012086236064223939,-7.696679956816406e-17
