,Top Variables PCA 95%,Scores PCA 95%,Top Variables PCA 100%,Scores PCA 100%,Top Variables No PCA,Scores No PCA
0,oldest_phylostratum,0.022352222637328046,gc_cds,0.13982177708955018,oldest_phylostratum,0.011286181183402865
1,occ_total_sum,0.0158818189120851,CCG_freq,0.1299826318506163,repeat_cds,0.010176575008863098
2,cds_length,0.007137605071036157,GCC_freq,0.12632530721021892,occ_total_sum,0.008685802546420096
3,repeat_cds,0.0050455348555111575,GCG_freq,0.12104561133005917,cds_length,0.005169393889957519
4,GAT_freq,0.0032490469918347586,ACC_freq,0.11548124616471837,transcription_gene,0.0037537207132808392
5,ACG_freq,0.003046990984833775,CGG_freq,0.1126892275382643,TGC_freq,0.0019805513295081956
6,TCG_freq,0.002720700710171109,GGC_freq,0.11232555975728906,AGA_freq,0.0014885803979693302
7,CAT_freq,0.0020173298940458937,CGC_freq,0.11149525588113463,TCT_freq,0.0013588270431621919
8,TAG_freq,0.0019774627222817085,CCA_freq,0.11088369321290834,ATG_freq,0.0013347143339517587
9,AAG_freq,0.0018827250614476209,CCT_freq,0.11083783598175465,CAT_freq,-0.0009966305439734423
10,TCA_freq,0.001861261392214242,CAC_freq,0.10922793702273595,TTC_freq,0.0009693140482246009
11,TGG_freq,0.001852888436097433,CCC_freq,0.10564670880215163,CTA_freq,0.0008104947615982349
12,CAA_freq,0.001834654942827907,ACA_freq,0.10309589478091549,TCC_freq,0.0008025274503381308
13,AGA_freq,0.0017173060502469807,TCC_freq,0.10192762089583327,repeat_gene,0.000802358829994021
14,TCT_freq,0.00170761552235551,CTC_freq,0.10182272524872578,TCA_freq,0.0007852860201509771
15,ACC_freq,0.001656060213880084,CTG_freq,0.09977013785968586,TAT_freq,-0.0006894885871427725
16,GCA_freq,0.001636934171988902,ATT_freq,0.09888301089275399,GCT_freq,0.0006655866533625598
17,TGT_freq,0.001597747037269781,TCA_freq,0.09873688804411164,AGC_freq,-0.000628700953084338
18,TTG_freq,-0.0015217953998044932,TTA_freq,0.09517154370504283,GAG_freq,0.0006088880626492155
19,ATG_freq,-0.00151002225846264,CAG_freq,0.0949947386027059,H3k4me1_gene,0.000603407901465014
20,CGT_freq,0.0014763604247340135,TCT_freq,0.09352150305382585,TGA_freq,-0.0005852390593851453
21,dnase_gene,0.0013849379444944576,TTC_freq,0.09315834479764118,GAA_freq,0.0005623910027557244
22,ACT_freq,0.001365769400287986,GCA_freq,0.09261962202121847,ATC_freq,-0.0005190134192285534
23,H3k4me3_gene,-0.0013186343326053729,GAC_freq,0.09223559540187115,GCC_freq,-0.0005189712641425204
24,GGG_freq,-0.0012486330192838402,ACG_freq,0.09072487655100464,CTC_freq,0.000513153862270066
25,TTC_freq,0.0012066407317537831,TTG_freq,0.09058019366372703,CCG_freq,-0.000512184295291307
26,CCA_freq,0.001197842752483813,GTG_freq,0.08997334963812667,GTA_freq,-0.00051193136477512
27,H3k4me3_cds,-0.0011889172662681857,GAA_freq,0.08955819770004951,ATA_freq,-0.0005098236104735144
28,CAG_freq,0.0011670285738814789,ATC_freq,0.0895455038867881,H3k4me1_cds,0.0004906008912428317
29,TGA_freq,0.0011208710594508343,TCG_freq,0.08947217662344575,TAG_freq,0.00047955625870239605
30,GAA_freq,0.0011143257028925825,GGG_freq,0.08762408590144913,TGG_freq,0.00047951410361635194
31,ACA_freq,0.0010794313020200952,GCT_freq,0.08411897625392953,GCA_freq,0.0004436401254029443
32,CTT_freq,0.0010458969752376035,AAT_freq,0.0831220356179983,CTT_freq,0.0004336072149272896
33,AGG_freq,0.0009588947357906275,ACT_freq,0.08223929499491593,CAG_freq,0.000414468805868673
34,nsome_gene,-0.0009530719185928515,CTT_freq,0.08202671239097842,GTG_freq,0.0004105483828676593
35,ATA_freq,0.0009308857099989632,ATA_freq,0.08120936816710647,TCG_freq,0.0004052368420276342
36,nsome_cds,-0.000908061966675744,TAA_freq,0.08107421117808787,ACT_freq,0.00039621565361672715
37,ATT_freq,0.0008568041744072885,TAT_freq,0.08038475767665565,nsome_cds,-0.00039579410275635273
38,CTC_freq,0.0008534039891821999,AAG_freq,0.07980914973604407,AAA_freq,0.0003933491077665385
39,AAA_freq,0.0008497062877499406,GTC_freq,0.07930551771041723,repli_gene,0.0003841171439254998
40,TGC_freq,0.0008299852134444174,AAC_freq,0.07927494622298142,TAC_freq,0.00037088044691137024
41,AGC_freq,-0.0008069489585446288,GAG_freq,0.07881433581228228,ATT_freq,-0.0003623651195328481
42,H3k4me1_cds,0.0008057163914003462,CAA_freq,0.07876803551609332,CGG_freq,-0.000357854525327439
43,CTA_freq,0.0008053338705624969,GTT_freq,0.07496339175145833,AAT_freq,-0.0003288096710512112
44,dnase_cds,0.0008037612848958875,CAT_freq,0.06981143152097588,CTG_freq,0.0003215168411676905
45,GTT_freq,0.0007944957801575226,TGT_freq,0.06799736819369037,GGC_freq,-0.0003027999829693373
46,GGA_freq,0.0007932207106981281,AGA_freq,0.06646188200735055,GTT_freq,-0.00028905742492282285
47,recomb_gene,-0.0007542885898710772,GTA_freq,0.06371716057341488,CGC_freq,-0.00028749768673964616
48,TAA_freq,0.0007524184879970308,AGC_freq,0.06347254436742505,GAT_freq,0.0002849262264917218
49,TAC_freq,0.0007237294251603354,TAC_freq,0.062291975427613236,gc_cds,-0.00027995192633987196
50,GAG_freq,0.0007103411958365502,CGA_freq,0.062071218273774396,ACC_freq,-0.00026346928770130116
51,repli_gene,0.0007060059596745271,GAT_freq,0.061217143958476036,CGA_freq,0.00026056058676509063
52,GGC_freq,-0.0006981430313417136,CTA_freq,0.060651859433186975,TAA_freq,-0.0002493051787944789
53,CGA_freq,0.0006702615124957844,TGA_freq,0.053831759344795484,CAC_freq,-0.00024462596424488223
54,H3k27ac_gene,0.0006615910401718272,CGT_freq,0.052733002363752036,AAG_freq,0.00023476167411338179
55,GAC_freq,0.0006535156002621889,TGC_freq,0.05182906107873052,TTG_freq,-0.0002334127113602813
56,CCG_freq,0.0006101632386423361,TAG_freq,0.05143650545745363,H3k27ac_cds,0.00022654143233705737
57,GTG_freq,0.000592184759264669,GGA_freq,0.045638600712005574,GCG_freq,-0.00021988092874396513
58,AAT_freq,0.0005869994767964237,AGT_freq,0.03982015990217134,H3k27ac_gene,0.00021322042515090623
59,H3k4me1_gene,0.0005824942313731429,AGG_freq,0.03723026754482163,TTA_freq,-0.00020415708165398837
60,TCC_freq,0.0005448796823206315,AAA_freq,0.03592076667973717,GTC_freq,0.00018990866257511118
61,AGT_freq,0.0005345941220147088,GGT_freq,0.03274780073593111,ACG_freq,0.0001735946442806613
62,CCT_freq,-0.0005297913603844462,oldest_phylostratum,0.012893879278069943,dnase_gene,-0.00014712125025236888
63,H3k27ac_cds,0.0005247335848619583,TGG_freq,0.012277819499735387,CCA_freq,-0.0001354864465075045
64,lamin_gene,0.0005136404805650474,ATG_freq,0.009869340121089764,nsome_gene,0.00011807639597622987
65,GTA_freq,0.0004943444294126965,occ_total_sum,0.009652481939561586,CCT_freq,-0.00011575786624444806
66,GCG_freq,0.00046353025081031786,repeat_cds,0.006179959725388351,H3k4me3_cds,-0.00010745331429611316
67,CAC_freq,-0.00046004506095475016,nsome_cds,0.003697554945602766,AAC_freq,8.637577127997841e-05
68,CGC_freq,0.0004055570927225194,nsome_gene,0.0035022518780419955,AGG_freq,6.883925549058256e-05
69,repeat_gene,0.0003891086966961721,H3k4me3_cds,0.0033508565554795865,dnase_cds,6.373849008071142e-05
70,CCC_freq,-0.00025526890577374226,transcription_gene,0.003195385034592413,GGT_freq,-5.1387049873241605e-05
71,ATC_freq,0.0002208420303694947,cds_length,0.0026969590231302964,TGT_freq,4.9616536259955435e-05
72,TTA_freq,0.00018900779619956953,H3k4me3_gene,0.002493570018675284,CCC_freq,-4.341973861317072e-05
73,TAT_freq,0.00018603263412767524,H3k4me1_gene,0.0016570189255231016,recomb_gene,4.169138008586204e-05
74,CTG_freq,-0.00017600208771382242,repli_gene,0.0011892751677556213,GGG_freq,-3.916207492392632e-05
75,GTC_freq,0.0001283994945623812,repeat_gene,0.0011750970866259204,CGT_freq,3.0267351771118277e-05
76,CGG_freq,-0.0001242342676618491,dnase_gene,0.0010789962804691022,GAC_freq,-2.8960544104128517e-05
77,AAC_freq,9.928540857251367e-05,H3k27ac_gene,0.0010279994949059068,CAA_freq,-2.482934567299422e-05
78,GCT_freq,9.886038541938591e-05,H3k27ac_cds,0.0007733257126148474,H3k4me3_gene,-2.3859778694235168e-05
79,GGT_freq,7.225393603312868e-05,lamin_gene,0.0007351335065718279,GGA_freq,-1.7578670875406653e-05
80,GCC_freq,-7.059634573605144e-05,dnase_cds,0.000484270083584315,lamin_gene,-6.660503593081124e-06
81,transcription_gene,6.1033324790249474e-05,H3k4me1_cds,0.00034776174620801956,ACA_freq,5.395851012113262e-06
82,gc_cds,2.7201481800631644e-05,recomb_gene,-8.387221118243416e-05,AGT_freq,-3.793957743192244e-07
