,Top Variables PCA 95%,Scores PCA 95%,Top Variables PCA 100%,Scores PCA 100%,Top Variables No PCA,Scores No PCA
0,occ_total_sum,0.04126564669610374,GGC_freq,0.035893011234751915,occ_total_sum,0.016936290596928673
1,oldest_phylostratum,0.020465289846664347,CCA_freq,0.03482598169710469,cds_length,0.009249226348783602
2,cds_length,0.0065388324528978135,TTC_freq,0.03479297426474146,oldest_phylostratum,0.009085432762005463
3,CGT_freq,0.005610730644551832,CCT_freq,0.03407954158873243,TGG_freq,0.003406573579805705
4,CCA_freq,0.003961513303437159,GCT_freq,0.03325741202338928,dnase_cds,0.0020390415113778703
5,dnase_gene,0.003875892389237878,GTT_freq,0.03300989843575115,GAT_freq,0.0019875069187034965
6,TGG_freq,0.0038042759879344246,ACG_freq,0.032598485873619854,H3k4me1_gene,0.0019798768481316454
7,repeat_cds,0.003780984719142522,AGC_freq,0.03258872697120335,nsome_gene,0.0019239370489669283
8,GTG_freq,0.003712088466019148,AGA_freq,0.032299458770850366,transcription_gene,0.0019060000598602246
9,AGA_freq,0.003709750838676884,GCC_freq,0.031724020768967756,AGA_freq,0.0018604304118593929
10,CGA_freq,0.002979157289593304,gc_cds,0.0300216297746431,GAA_freq,0.0017499630089120144
11,GCT_freq,0.002897807858083035,CAT_freq,0.030004430499541934,AGT_freq,0.001745494569792605
12,CTC_freq,0.002732282591094137,TCA_freq,0.02992652790055441,recomb_gene,0.0013163347164417138
13,GAT_freq,0.0025881784910232407,CTG_freq,0.029613631774480363,AAG_freq,-0.0013145431252853611
14,dnase_cds,0.002432365003083481,TTG_freq,0.029560516366079814,TAT_freq,0.0012530177772213213
15,GAG_freq,-0.0023560095936226875,CAA_freq,0.029491845730933296,CTG_freq,0.0012475586935801642
16,nsome_gene,-0.0023409425228439916,TAA_freq,0.029302337541675515,ACA_freq,-0.0011796046948962524
17,TCT_freq,0.002158352576256517,ATT_freq,0.028968174174698234,TAC_freq,0.0010493665565997402
18,AGG_freq,0.0021381214741672872,CGG_freq,0.027954576208596794,ATG_freq,-0.001014841541139333
19,AAA_freq,0.0021356563398790772,ATA_freq,0.02774236750551067,GCA_freq,0.0009467821547403776
20,GTA_freq,-0.002110728731947664,TAT_freq,0.02672002235905757,CAG_freq,0.0009439366864332221
21,CTT_freq,-0.0020745167593005376,GAC_freq,0.02659397865182127,TTA_freq,0.0009394260922277242
22,ACG_freq,0.0020334382715498146,AGG_freq,0.02650747641528316,TCT_freq,-0.0009323440377743131
23,CTG_freq,0.0019408257264814433,GTC_freq,0.026155249593941075,TTC_freq,-0.0008931398077643537
24,ATC_freq,0.0019142405282526864,GCA_freq,0.026035128676292263,H3k4me3_gene,-0.000858066776185562
25,ACC_freq,0.0018150188731530959,TAC_freq,0.02573532170443127,GGA_freq,0.0008572236744648909
26,CCC_freq,0.001710633186742816,AAT_freq,0.025530532296486764,repeat_gene,0.0008208859903051646
27,TTC_freq,-0.0016590353759521558,CTT_freq,0.025396816363592645,TAG_freq,0.0008190522440627678
28,TCG_freq,0.001511871109178642,ACC_freq,0.024817268240821866,H3k4me1_cds,0.0008025063727951198
29,AAG_freq,0.0014491376917756815,TGC_freq,0.024736709871414277,CGG_freq,0.0007532903098525168
30,TAG_freq,0.0014423585724832265,AAG_freq,0.02456067023214381,TGA_freq,-0.0007481684668995903
31,TAA_freq,0.0014347294068844164,CCG_freq,0.024467085941152246,AGC_freq,-0.0006815001983396796
32,lamin_gene,-0.001427716524857725,ATC_freq,0.024455767300552666,H3k27ac_gene,0.0006479447498580315
33,CCT_freq,0.0013908032640077561,CGA_freq,0.024373585960332823,ATT_freq,0.0006008575187600673
34,AAT_freq,0.0013667044512249205,TTA_freq,0.024307423552805296,TTG_freq,0.0005615057459490202
35,GGG_freq,-0.0013194418765962834,GAA_freq,0.023389918105314312,CGC_freq,0.0005602200158250414
36,TTG_freq,0.0012804672534535877,CAG_freq,0.023363718719345283,GGC_freq,0.0005290884847902299
