,Top Variables PCA 95%,Scores PCA 95%,Top Variables PCA 100%,Scores PCA 100%,Top Variables No PCA,Scores No PCA
0,occ_total_sum,0.0678634468612678,occ_total_sum,0.07434962560532965,occ_total_sum,0.0583483721602754
1,oldest_phylostratum,0.01175214519810972,GTG_freq,0.012203924768765107,AGT_freq,0.008451420268081078
2,cds_length,0.007604599260544775,TAT_freq,0.008265183974339485,oldest_phylostratum,0.008338866188375094
3,ATG_freq,0.005413604906127301,GTC_freq,0.008226010861324217,AAA_freq,0.008056174181443132
4,CAC_freq,0.0051405700325525714,TAC_freq,0.008058517944843113,CCC_freq,0.007584205838226521
5,TGG_freq,0.0050588805825198205,GCG_freq,0.007924712191195681,AAT_freq,0.007283387144300701
6,ATC_freq,0.004567468812863606,GAC_freq,0.007787563436656386,cds_length,-0.0065860577111558575
7,CCA_freq,0.004452117529102439,GGA_freq,0.007308399975484714,TAT_freq,0.0062343156733031925
8,H3k4me1_cds,0.004300554272694046,TTA_freq,0.007291256381167255,CCA_freq,0.006145368441775223
9,TGA_freq,0.004206709160481559,oldest_phylostratum,0.007289542021735551,TAC_freq,0.006108777827099265
10,CGA_freq,0.003595440861641008,AGT_freq,0.007283541763724433,ATT_freq,0.005938218349012958
11,CTC_freq,0.00338352431748723,transcription_gene,0.006950356008165515,nsome_cds,0.005936279215055485
12,H3k4me3_gene,-0.0032597575752938424,AAT_freq,0.006209838451624883,GTA_freq,0.005376543982719806
13,ACG_freq,0.003084648036201809,GCT_freq,0.0057936776995697326,AGG_freq,0.0053485530055944475
14,CAA_freq,0.002899932973848762,gc_cds,0.005456377481374619,GCG_freq,0.005289030024116981
15,repeat_gene,0.0028551355335082462,CTT_freq,0.005358573275793743,ATC_freq,0.005165262691526418
16,TAC_freq,0.0027805014678174756,H3k27ac_gene,0.0052342822169924915,CGA_freq,0.0051292622480549
17,CAT_freq,0.002716152962432683,TTG_freq,0.005073218148380421,H3k4me1_gene,0.0051076788440063805
18,TAT_freq,0.002625113003030877,GGG_freq,0.004979785559350547,H3k27ac_gene,0.004976998077306583
19,repli_gene,-0.0026192476835175337,AGG_freq,0.004887810175837615,GTC_freq,0.00493459006075816
20,TTG_freq,0.0025225974184944324,CGA_freq,0.004823693133090478,TGC_freq,0.004759730763896552
21,CTT_freq,0.0025115468165128664,CGG_freq,0.00477406242754157,GCT_freq,0.004324437345527987
22,GAT_freq,0.0024840053161896635,AGC_freq,0.004679601222852603,transcription_gene,0.004294591544617199
23,TAA_freq,0.002247182415262139,TAA_freq,0.004610341101810289,CGT_freq,0.004097137121642347
24,lamin_gene,0.0022449722948658215,CCT_freq,-0.004556510215653509,gc_cds,0.004067038390215339
25,dnase_cds,0.0022421671420550958,CCA_freq,0.004543309648029181,TCG_freq,0.003971177724578068
26,TCC_freq,0.0022035750397503715,GTA_freq,0.004419790050972261,GCA_freq,0.003961060503930369
27,H3k4me1_gene,0.0021876791738230763,H3k4me1_cds,0.0044001606354787896,CCG_freq,0.003674490229083438
28,GTA_freq,0.0021227356360238535,CGT_freq,-0.004099976298980845,TAG_freq,0.003461859975136994
29,ACA_freq,-0.002120610520258026,nsome_cds,0.0040814612171180984,GAG_freq,0.003417512824631097
30,TCT_freq,0.0020637424223685307,ATT_freq,0.00377793387972829,GGA_freq,0.003398795966432777
31,TTC_freq,0.0020611922834496755,AAA_freq,0.0037690192106832445,GTG_freq,0.0032920592885992807
32,TCA_freq,-0.0019993089123529818,GGC_freq,0.0036579287195064535,CTG_freq,0.003238185088650103
33,GGG_freq,0.0019324102680493781,H3k4me3_cds,0.0036364135086380143,CGG_freq,0.0032073275656745227
