,beta
occ_total_sum,0.3501987641461033
oldest_phylostratum,-0.22486323953505566
PC 1,0.02409861692713379
PC 2,-0.019978874248947624
PC 3,-0.07784355063876724
PC 4,0.08382962559909259
PC 5,-0.02519104449530473
PC 6,-0.07734357303364212
PC 7,0.0334341323741257
PC 8,0.045760856921087036
PC 9,-0.16826092055041236
PC 10,0.016675078708452418
PC 11,0.0035120064643774517
PC 12,0.09320789579091518
PC 13,0.09875896156051564
PC 14,-0.032898718587016866
PC 15,0.08983371186612879
PC 16,0.05363647728506303
PC 17,-0.02890703188395825
PC 18,0.017790745771459535
PC 19,0.07544788979231855
PC 20,0.018822792278238024
PC 21,0.06741530021174526
PC 22,-0.04702605723410021
PC 23,0.04095983073544177
PC 24,0.1620998447174677
PC 25,0.0718193612950746
PC 26,0.04085127149263637
PC 27,0.012521933388959582
PC 28,-0.016414050621953988
PC 29,-0.13014688294348892
PC 30,0.032487162475029474
PC 31,-0.00674528500402288
PC 32,-0.0032136081087880764
PC 33,-0.04005189512361992
PC 34,-0.025796871589572928
PC 35,0.027612210971847722
PC 36,-0.05753267827371606
PC 37,0.012084591191818936
PC 38,0.040539620264732304
PC 39,0.06325214644639637
PC 40,0.13095188565211116
PC 41,-0.02395945072827785
PC 42,0.03837946567767902
PC 43,0.007801171605394699
PC 44,0.0009001620695260781
PC 45,0.08750666890678571
PC 46,0.08207701669730857
PC 47,-0.021581931065302585
PC 48,0.040725941227857596
PC 49,-0.1011420823566754
PC 50,-0.012148720029053322
PC 51,-0.0786427097641993
PC 52,-0.0008288506846589178
PC 53,-0.0074466208768005256
PC 54,0.05984153594639668
PC 55,0.030758795547379623
PC 56,-0.07084179663233639
PC 57,-0.05155693361863644
PC 58,0.016218268288654202
PC 59,0.10035081069493763
PC 60,-0.03115425865214006
PC 61,-0.08740408367539657
PC 62,-0.04403371496534812
PC 63,0.22763102817161499
PC 64,-0.019788856654652093
PC 65,-0.04806196196603537
PC 66,0.9558065107176518
PC 67,-0.03031519336216859
PC 68,0.1615344975174909
PC 69,-1.4655915010751153
PC 70,1.9216224596428209
PC 71,-0.9979694487400655
PC 72,-0.13524493067607016
PC 73,-1.1128776773480946
PC 74,-0.4326683673641822
PC 75,0.4274985634981197
PC 76,0.3480144141772388
PC 77,1.6719109204150744
PC 78,0.45118427786453635
PC 79,2.1457193996865214
PC 80,-0.05654995138131517
