,Beta,Score
occ_total_sum,0.3508692906557401,0.05217839241792689
oldest_phylostratum,-0.22974922984167245,0.03071714581651832
PC 1,0.024238114483623122,0.0037351884743920816
PC 2,-0.019482691689120143,-0.0010523148248501647
PC 3,-0.07706649084650888,0.0019852831482994326
PC 4,0.08371917616944262,0.0023740093241578553
PC 5,-0.02421982448416614,-7.242394529447527e-05
PC 6,-0.07573901404524075,0.007730533620818947
PC 7,0.03184760655170761,0.0036208572461984057
PC 8,0.043237640270670404,0.0006309468708307397
PC 9,-0.16814035730507268,-0.0021678305925716067
PC 10,0.014054300417279113,-0.0010736509871375865
PC 11,0.001158153007757914,-1.1050601981610341e-05
PC 12,0.09356429234448428,-0.0018137863060090909
PC 13,0.08804112722099233,0.0006106307641108311
PC 14,-0.03495002744578594,-5.780314882719573e-06
PC 15,0.08871571568879746,0.002678240897172801
PC 16,0.051034257593830644,-0.0019671771619759635
PC 17,-0.0411685289257636,-0.00028846321403365184
PC 18,0.016572136467306476,-0.0007536935574566028
PC 19,0.06869677663480948,0.0018293421534137488
PC 20,0.006099987066790579,0.00018501257856015085
PC 21,0.05476647141661196,0.0014134144957545947
PC 22,-0.06595278731101907,-0.0029934805698541233
PC 23,0.03272857634524769,-0.00035391677961664757
PC 24,0.14795443568968134,0.002600674171725448
PC 25,0.06186828708415009,0.0015940493358375107
PC 26,0.027367402059066095,-0.00040062682414631067
PC 27,0.01677031485205339,0.00025926412341308324
PC 28,-0.012950117269451068,-0.0001695417357861051
PC 29,-0.1263247278557425,0.0010766261492094142
PC 30,0.028510582527965435,0.00037351034697609143
PC 31,-0.002127085306199591,2.341877573776019e-05
PC 32,-0.011111655892932405,0.00011114355454509007
PC 33,-0.052422727877152756,0.0004118899377043128
PC 34,-0.03173399606583369,-0.0002478310005938567
PC 35,0.030596516263177553,-8.088190604189638e-05
PC 36,-0.057850234990981006,-0.00034312119152697386
PC 37,0.012660391695918496,-0.0001263168811121429
PC 38,0.035093450364026356,-0.00038230832624612797
PC 39,0.05991704458823202,0.0017479927219034574
PC 40,0.12020282543151385,0.0012660164662469553
PC 41,-0.018925775931349035,-0.0003985017083805942
PC 42,0.04110955235114321,-0.00037674052294004443
PC 43,0.007948000519954809,-4.4372417187510396e-05
PC 44,-0.0057502890536225044,5.1767820051917825e-05
PC 45,0.07821028172182426,0.00024379328063892647
PC 46,0.08168241346684856,-0.0005889970856162829
PC 47,-0.029071810613954748,0.0005341690988615921
PC 48,0.044449650030809494,0.00041745774101039637
PC 49,-0.115069408903104,0.0018160389287205981
PC 50,-0.0156579979192601,0.0002448558385217292
PC 51,-0.07316995348776256,0.0005270712122041998
PC 52,0.0014147786883755085,-1.28356992247447e-05
PC 53,-0.011684651647088658,-0.0002263248290451103
PC 54,0.06160248943725252,-0.0003168547606631544
PC 55,0.03024123420874862,-0.0002579890539537666
PC 56,-0.06751818996525796,-0.00042855084530734054
PC 57,-0.05334757336915914,0.000536889247041672
PC 58,0.017890863288602826,-0.0002340602504321887
PC 59,0.10571596950803425,-0.000584194323985865
PC 60,-0.031498952513863705,-6.961879248379432e-05
PC 61,-0.07340796633715688,0.00013120464737309545
PC 62,-0.045588805184835615,-9.354759600536112e-05
PC 63,0.15350836412930616,-0.0002559489428186956
PC 64,-0.021268557814886836,-5.984325996161166e-05
PC 65,-0.04829358482205596,-8.640720703264603e-05
PC 66,0.9254324458599288,-0.004133010145727723
PC 67,-0.03080786626130891,2.0613622927045938e-05
PC 68,0.1425005541872262,-0.00011178108927488717
PC 69,-1.2869549813275338,0.0036355630472969303
PC 70,1.6353989842953924,-0.0003991817454256252
PC 71,-0.8481174196598213,-0.0004216654702265621
PC 72,-0.12988187562334005,-0.00016949923347080452
PC 73,-0.7758741280389003,0.0008925486215860867
PC 74,-0.3536902830930976,-0.00025135869276484704
PC 75,0.3091633637632405,0.00040959481267736073
PC 76,0.2470149647974994,-0.00020120596069477247
PC 77,1.0508555940256445,-0.00014119269147193635
PC 78,0.2551142796446757,6.366846833973926e-05
PC 79,1.1966153614067063,0.00011076103370722956
PC 80,-0.04851965528541929,7.820426017635107e-06
