,beta
occ_total_sum,0.3502317927981614
oldest_phylostratum,-0.2246889863655044
cds_length,0.13193373777580747
dnase_gene,0.07090719412778723
dnase_cds,0.026170820191581165
H3k4me1_gene,0.06067414834572936
H3k4me3_gene,0.03734625276954317
H3k27ac_gene,-0.03410032414931315
H3k4me1_cds,0.07245846321770252
H3k4me3_cds,-0.041194077137624935
H3k27ac_cds,0.037654578950628126
lamin_gene,-0.05273802510019876
repli_gene,-0.03205383594253071
nsome_gene,-0.08233714092793697
nsome_cds,0.11922537260611797
transcription_gene,0.051201121237569536
repeat_gene,0.01694207185076323
repeat_cds,-0.16281879477155528
recomb_gene,-0.004261164256014385
AAA_freq,-0.025342654347622517
AAC_freq,0.12178328160268713
AAG_freq,0.5536880750813181
AAT_freq,0.5376415866292769
ACA_freq,0.3923611051866155
ACC_freq,-0.12400060926276837
ACG_freq,0.0975897586491483
ACT_freq,-0.029984929592547293
AGA_freq,-0.577781842629791
AGC_freq,-0.5164232024958074
AGG_freq,-0.6001844735586204
AGT_freq,-0.6750234641354245
ATA_freq,-1.028995563328343
ATC_freq,0.07485617272500372
ATG_freq,0.24692428169457897
ATT_freq,-0.3009937644592272
CAA_freq,-0.5293316689516169
CAC_freq,-0.41631760608957624
CAG_freq,-0.2980031691044866
CAT_freq,-0.09706437600249722
CCA_freq,0.8363703686182149
CCC_freq,0.04950482893142154
CCG_freq,0.5298664889948931
CCT_freq,0.12169057848563634
CGA_freq,-0.1207094258318996
CGC_freq,-0.651674801514379
CGG_freq,-0.6998813412313998
CGT_freq,-0.45750271785082564
CTA_freq,-0.3849860750719101
CTC_freq,0.4310815116046458
CTG_freq,0.8285695407717951
CTT_freq,0.03729493330156335
GAA_freq,0.148381098878512
GAC_freq,0.13460121693446023
GAG_freq,0.46647832659717914
GAT_freq,0.4610701890086444
GCA_freq,0.7174727563916777
GCC_freq,0.25511636744699895
GCG_freq,0.7875007363999641
GCT_freq,0.2385416662658877
GGA_freq,0.2258248332833193
GGC_freq,0.12987643346523445
GGG_freq,-0.031216332346627466
GGT_freq,-0.2246127341814241
GTA_freq,0.04224183595932672
GTC_freq,0.6565981165229408
GTG_freq,1.0559876382748514
GTT_freq,0.48262729018018435
TAA_freq,0.6495889294105403
TAC_freq,0.6255906798548807
TAG_freq,0.5153344578569422
TAT_freq,1.1371116085444706
TCA_freq,0.08785276028548837
TCC_freq,-0.4831523192494607
TCG_freq,-0.07169460694935154
TCT_freq,-0.4954013500659155
TGA_freq,-0.5629683861741218
TGC_freq,-0.7978287354508833
TGG_freq,-0.6463197442532941
TGT_freq,-1.104309603172386
TTA_freq,-0.8231227890891027
TTC_freq,0.38041351847723515
TTG_freq,0.6070038911933769
