,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61,PC 62,PC 63,PC 64,PC 65,PC 66,PC 67,PC 68,PC 69,PC 70,PC 71,PC 72,PC 73,PC 74,PC 75,PC 76,PC 77,PC 78,PC 79,PC 80
cds_length,-0.01781244930554185,-0.013216137582566862,0.10159740941334047,-0.014502462841036363,0.053881437599955756,0.007418003957086378,0.03967734442682496,-0.05258435689634601,-0.02710952656856717,-0.12494915315420162,-0.2053520386941497,0.22716516942836432,0.12627516096358116,0.11802290273070704,-0.15756925114857934,0.2444303579121437,-0.2701371888490915,0.5305212450786487,0.4839679316956473,0.0511488423082885,-0.0007155886021391205,-0.2122228520608665,0.07227142158562898,0.27800462702350104,0.08332734092393039,0.03386664115491472,0.05310085105246094,0.10123457761934027,-0.02083211226561182,0.006426075507150061,-0.01651414442276063,0.054287310029083914,-0.003649200395243126,0.03183022130301855,-0.021580212678281273,0.02157335376958279,-0.006230015930946476,0.0404336738356892,-0.014058537050133454,0.044505568763598825,-0.017080388123236836,0.03830762499728951,-0.03372415070742391,0.01366172409644795,0.0005829109029681157,0.023563854309785224,0.00016940947268134378,0.03387893377616011,-0.01397268032264206,0.024009228495023297,0.00801996135909587,-0.00039751078277289366,-0.011269951710909996,-0.01974155801042958,-0.003362497695998717,-0.01288888804395791,0.00037272322225084527,-0.014547715959140893,-0.016601097415475777,0.006247147010436932,-0.010684419010114408,-0.006876467987333826,-0.012064527628821736,-0.0048741348059653175,0.0016232773453746544,0.01753812295570843,-0.0009051317673422006,0.001735959027528935,0.007027841896311623,-0.008389554097061014,0.003302030659698602,-0.0017760023764842607,0.001984122165876607,0.000789985364892123,0.0004832944732164725,0.0006188520426602152,0.0008399258388430462,0.00042337786414002485,-0.00033106464835574035,-5.6004792788487115e-05
dnase_gene,0.15138332180179148,-0.04654954149787777,-0.10654663829201183,0.09516987082129924,0.055017495345963285,-0.002651286729043344,-0.0023161774672517954,0.021300565727663694,0.05300512956103056,0.001163479365331968,0.03543867895967273,-0.06193439353613092,-0.011347597059762071,-0.06339157896636953,-0.00665198017124232,-0.08107767035302835,-0.028705293363506496,-0.06280839017406155,0.11852547302558386,0.03678737230040649,-0.024747418729284605,0.014810143450544266,-0.056218755956622776,0.028957884324482458,0.1093495557651594,-0.00899281496419009,0.139455867318382,0.0028676560686084485,-0.021312001610523972,-0.22963557435112358,0.09337396821202364,0.36326634171672956,-0.07227057879817603,-0.024310137675589878,0.21828975427918523,-0.03703079479312002,-0.03968861734665684,-0.10371956295470511,0.12004709981054817,-0.10828213495013296,0.0014949385179390661,0.01712016232483473,-0.010371481414185528,0.011922438205261593,0.007359742180695059,-0.010953949916045721,-0.006287383718547316,-0.09937495855471379,-0.09986779827217118,0.04233006887535562,-0.008681919666484395,0.12557735516078142,0.11513988433258074,-0.18406084269136755,0.2958804249003124,-0.32942051212201406,0.0005284459915702176,-0.04133476072701459,-0.06235278091610426,0.003822327158296824,-0.063857656093374,-0.5432231988094467,-0.013019317015909193,0.03571551683109144,-0.03133210482185063,0.0035441522209082414,0.0007953509668301523,-0.0007461508394522548,-0.002392484766474112,0.0009859745571884695,0.0018730937842304923,-0.0004525792311102974,-0.0013832865515656318,-0.00013353951402929071,0.0002187985852852752,-0.0003604925143246393,0.0005222733359478912,0.0004035731201523364,-0.0001873693496795203,-0.00019730709621032535
dnase_cds,0.1459362888622464,-0.041507216660805535,-0.07008797807882566,0.04977690195649946,0.04336843464950427,-0.01900576173805352,-0.018854656697870092,0.012169676103750887,0.03005189737441635,-0.016749500354376293,-0.06566761080944342,-0.0811876694694051,-0.030631291824602325,-0.05097860059138193,-0.038127486390535203,-0.10202498039560512,0.011416519483684884,-0.08813749366798003,0.12526857886511789,0.07738779892648057,0.02932312514792954,0.0017861877182889507,-0.12029214271908761,0.04575817113511127,0.12874458591999624,0.04478215721115389,0.20152422525832142,0.03477537941027469,-0.09681149549345769,-0.3428603571801927,0.1399260162377057,0.3857717022163741,0.01801206265948624,-0.10957928376952572,0.2679178367167488,-0.1284143582257678,-0.03136651823053704,-0.10278628047260069,0.1585063709120334,-0.025422835230261558,-0.03748311517541951,-0.004016469647803639,0.015287583333233525,-0.05085754807822139,0.08681961567692642,0.0663604834299904,-0.004053377522747473,0.13083523580691908,-0.003439638852107782,0.058342050428801105,-0.02417382850569257,-0.15201655802259645,-0.0896779865273283,0.1433286847442474,-0.2597517870570119,0.24403958273279447,0.006385976591371791,0.022683923460818073,0.06795260681119647,0.007242618083076098,0.07516708014976586,0.4121634196307982,-0.0047784126545035305,-0.031444455955265946,0.029468904293156597,-0.0003032739107747401,-0.003963316584921717,-9.050509741217452e-05,0.00014867075266955347,0.002953601746550981,-0.0013758525265620365,0.000637064378544913,0.0005002334638897371,0.00029466929978452946,-0.0009802171104631116,0.0008691450677163189,-0.0007835265139155066,-0.00029995040002354586,0.000569375753113374,0.0001675381194779962
H3k4me1_gene,0.07791343963135984,-0.0935457443092571,-0.17672291453612737,0.31856374030959184,0.098534461399338,0.04669924112561384,0.014622000946742264,0.0031268687097551623,-0.0006633943033467551,0.009689640636800112,0.02281760076665107,0.010446956165099608,0.02023496063330736,-0.0018322979376657472,-0.06395856023487602,0.0335908430709425,0.02173452416290863,-0.004032959583406472,-0.11818892450807339,0.016647834864330108,0.0025633467898106416,-0.1047596253764499,-0.04296829563214834,0.14896490355884584,0.35800656501570066,-0.2689036989122346,-0.16932345119922132,-0.028884324965091024,0.021603325666681217,0.028174556976598302,-0.018481633639803513,-0.057073315662507604,0.0009353661811964138,-0.030308193174189285,-0.053426958289984804,0.03436480736880537,0.008865385595094678,0.028493690062842844,0.014507126811248244,-0.001132063515791329,0.02594386744394412,0.01603449921338368,-0.006189387741809008,0.002890095653409329,-0.009784281091226837,-0.02037672041172857,-0.0015954896719341046,-0.04567898813011055,-0.017801769045625672,-0.005139534355104863,-0.0027033121125798545,0.060290203277704554,0.0546614293356225,-0.09182195136651951,0.13746433646794579,-0.16911457130057111,0.0094986051046839,-0.047155947153777085,0.04872356504871243,-0.009843695533708376,0.024693696756465586,0.3564371132247237,-0.01790830497631371,0.4699768462771772,-0.35101031385745035,-0.00104820209879522,-0.0022662401467328738,0.00236276418396973,0.00045972368296894744,-0.000876323695067821,-0.0005885923568531362,-0.0006623662289653581,-4.5991068292765974e-05,0.0014122444893018122,0.0003928968769516157,-0.0003282037993880657,-0.000887184053545929,6.983885021866892e-06,-0.0001144972273144835,0.0005709937636991068
H3k4me3_gene,0.05661113167584997,-0.10953608077128096,-0.23305042616008348,0.24374347325781362,0.09860298952979074,0.06587250453392392,-0.008118809310998093,-0.03277914262875034,0.13543696794426444,-0.03247846865696941,0.16463469632594113,-0.0679584954498767,-0.11198611196341302,0.1396856222086511,0.021155811516791828,-0.08480206904605928,0.08331576274899728,-0.01712010864780049,0.12062283595971923,0.1843548210164046,-0.09751884560997313,-0.16683609522000128,0.0942606216045843,0.04252431945221377,-0.2608279450968264,0.1470869233305766,0.031058140530166284,0.13765064984370357,0.02677805005384892,0.062058851753166486,-0.03345495537653732,-0.04424416825889224,-0.05314290314048062,0.04442662675156622,-0.019730901226866215,0.018225716392563356,-0.04729614162484273,0.04384623828241037,-0.01919479372728189,-0.003531392102772077,0.006704968879382635,-0.004575699668295893,0.02658941774236835,0.016949095394180325,-0.0049853986628875255,0.0033897734457656453,-0.06271732624852598,-0.07290016898392349,-0.017827374853161673,-0.022465228438952253,0.002729285020826814,0.08805758583883865,0.06808689136208007,-0.11885847052767523,0.16390838012121609,-0.2036221664007664,0.008359093306945356,-0.03710775232361915,0.11107557062772647,0.019977358836968096,0.0395840658366648,0.3175710809560547,0.04266150397519859,-0.5451104158126426,-0.11024815118079657,0.013567509239005751,-0.0023252828628956583,-0.003585199549881646,0.00042471922536159445,0.003246671400783184,0.0018978587187667602,0.0005850878078636768,0.00112610907653732,-0.0015659456561477438,0.001867439401810514,4.666499337362736e-05,-8.26615504118779e-05,-0.00025070248602736484,0.0006750176567409329,0.0007297419429139068
H3k27ac_gene,0.06840527318750671,-0.09343876472302087,-0.13779347690023164,0.3315193160676248,0.09158579549929385,0.0064202561115568185,0.056644754270447406,-0.01813545374628428,0.01352935235540527,0.0020603896323576343,-0.020143894093806958,0.07786524810091466,0.09420182974289897,0.06808359211433147,-0.08288635245292508,0.23811791903503088,-0.059960722466449706,0.13920934600780685,-0.1338023720215807,-0.23394210553164874,0.0982314810815665,0.20029227762371715,0.009966184089709857,-0.22137839406732532,-0.13720169241019708,0.12181493362017315,0.07073195299307891,-0.07164367602547045,-0.022922991039151772,-0.023641919602036644,0.024189036532091653,0.027212949781731638,0.02175402190644166,0.005775932742257565,0.027276963334938654,0.01363320621010844,-0.0008877933426149742,-0.0209479073411966,0.003987189038331774,-0.035038306548418816,0.0012155943081021484,-0.009812926893821086,-0.0017370689558823538,0.004189500220647471,-0.012406857437746017,0.003110265492815026,0.00672059456798845,-0.008326311619136356,-0.02113483979604948,0.013159731469778876,0.013363686745919374,0.06885809602397029,0.04714894928035252,-0.05054419862584669,0.11674630183777589,-0.12984499209341915,-0.010610838079232137,-0.0067587014301942056,0.03218062262413529,-0.007647074101090105,0.013136309342755267,0.19744927899201975,-0.013027562629316466,0.15657038830561515,0.641755064241296,-0.0033506908711239125,-0.0017483240231982028,0.0017885968346350069,-0.0030121090769500702,-0.0013060602873914834,0.001516322848207588,-0.00016154494862268692,-0.0012767166963414053,0.0006388444952245675,-0.0018444233678940273,-0.00011441637792577661,0.0010021994776731758,-0.000578081773407302,-0.00046070701008207784,0.0004936582748493052
H3k4me1_cds,0.07567503322678841,-0.08526310880688481,-0.17382194996860234,0.3001696987811231,0.09008586588037992,0.05330112786890698,-0.005959686090657328,-0.0003452215321134433,-0.011874519380891992,0.013191109532919743,0.04365527473165767,-0.00237485323835418,-0.019058222984641326,0.01392928164834098,-0.07689648613697313,0.022798554015758882,0.030299388628564555,-0.01566918436568024,-0.12814316154031455,0.031778617347534815,0.027824801678199385,-0.139799690554321,-0.06746710854287594,0.19195474058537448,0.4071203452255406,-0.29139783118428325,-0.1872343626469114,-0.053459008482379784,0.017144084128378888,0.02770452872110774,-0.008287272730771691,-0.08340624164313726,0.019491018038180628,-0.06174376546044432,-0.08032131127703372,0.026427355722813205,0.02813993691729934,0.029267694823747286,-0.010370853748245167,0.04514606255047917,0.026738624197506344,-0.0005002374828618622,-0.011734832631280993,-0.005035470097466667,0.008353118854807122,-0.003534591334129464,0.00558449622760486,0.040970561648089425,0.02736335294636727,-0.002454191328535374,-0.014800705816920938,-0.0809840908437453,-0.06322717393130066,0.1013778490457501,-0.15798527918778738,0.19614343134166565,-0.012673581417702192,0.04210097057430112,-0.0434494624647791,0.016177105634466643,-0.017563098736605928,-0.3004132816258806,0.001923124111682939,-0.4160684051982143,0.31412332611972865,0.0005471681414638829,0.0032286239577050367,-0.0029484952471073647,-0.001222917254907585,0.0020046738023086486,0.0009722518132719085,0.0018531552105133728,0.0006180434542042007,-0.0014158560292905006,0.00017786637999468898,-0.00012126364191857378,0.00028182554166482007,0.00044465635279459636,0.0002494551490672438,-0.00045311180915814323
H3k4me3_cds,0.05588686198219975,-0.10401929032122456,-0.24030019334908995,0.19656809490103355,0.09056382335747416,0.06544208802798714,-0.02857382302346767,-0.03605011167777017,0.13513116375282874,-0.03265000568494972,0.16718553848697615,-0.09855713360957936,-0.15609422145969773,0.1640294801122295,0.0033923313749183587,-0.10295251875802819,0.10703829199812637,-0.03199235226207067,0.14587559606722966,0.22518613519302155,-0.06489099550361299,-0.18569399709611797,0.07986598632494313,0.06940961122774619,-0.2755569950308334,0.18085983733196595,0.04786384845048228,0.13995460439320734,0.022136270470559438,0.05694987128739199,-0.024194644782411453,-0.0787690401133208,-0.02748201817130522,0.026412391043846614,-0.04935751829672657,-0.006214604341314628,-0.03983793874975923,0.050805380447387236,-0.040426294317441804,0.04830474835590916,-0.018513680966744016,-0.015726635407595835,0.02041270360837987,0.0011309094172368556,0.01077274813263676,0.02787215623211746,-0.0332354341144043,0.0449894627458589,0.05562566209017005,0.0013869697430853485,-0.0010745655830814872,-0.07853592928832459,-0.07282598727199772,0.11306962088484199,-0.18912737630825946,0.22905702889784807,0.013941208231115842,-0.008109422697128957,-0.12821130249715135,0.004384009996410414,-0.056204724378986555,-0.2658914573552488,-0.0420458118615679,0.49609557971559387,0.09771738057811469,-0.006799767098327525,-0.003199603670492202,0.0024569740260976247,-0.005176284230494987,-2.7991228175872074e-05,-0.0038631202295818234,-0.00040403425106112084,-0.0014391204326207885,0.0010980941545566392,-0.0019237851673354484,0.0004067087376451034,-0.00028285563830207985,0.0002421160434051689,-0.0011883138975691604,5.982000073692065e-05
H3k27ac_cds,0.0680325326450614,-0.09136083090323134,-0.1356573577857543,0.32045938270214613,0.08689069664891635,0.005497909084396485,0.03966247161018871,-0.023974185505799453,0.00014687029632839618,0.004374335158142173,-0.024517971302435715,0.0737804869914251,0.08516061705418854,0.08363230495856089,-0.08894422440917683,0.24586808988354275,-0.05359999319521461,0.15283782477885666,-0.14635701310502675,-0.23937601326632005,0.1336839489751162,0.21117707302167144,-0.005610610660416398,-0.21314181298320467,-0.14036847511130307,0.15023381081401818,0.09165082465081634,-0.09260319706109225,-0.03652553513149341,-0.03158311094888762,0.02861848322632222,0.007577023242565789,0.046712384644515374,-0.008136014670330441,0.02360236893066414,0.002337232357365486,0.015165906009516164,-0.023822041630546076,-0.005125579762435006,-0.009038775767878426,-0.013595846811164203,-0.020232670635653635,-0.0010114988318601775,-0.004977190947981089,0.008056937496598896,0.01862575416379815,0.03881876441703013,0.06107785016786303,0.027210930692157367,0.022739766827950383,0.0025469363619222488,-0.051889426607474635,-0.05034326295144682,0.101840340616991,-0.14733420093070543,0.165222258084877,-0.006969470653821528,0.05362828723272828,-0.03778824525159891,-0.027527124202052333,-0.00497499418350919,-0.21881563238993926,0.016799882871037647,-0.148781102788037,-0.5838314353420186,-0.0008428464070279196,0.0035141792256798074,-0.00010649061577570895,0.00430176008141421,0.0007185248865241578,-0.0024814483329795856,-0.0004480220075482738,0.0007845878216475172,-0.0003756702026965989,0.00116966110950106,-0.00013626246950150002,-0.0008908040005434735,0.0002631480843410519,0.00040549616132744444,-0.0007646513261552316
lamin_gene,-0.04634386134610356,0.07058618210171257,0.04789069818727066,-0.14822095414739933,0.002020793507706342,-0.04442322204468624,-0.12135979504789174,-0.04365112506670238,-0.1502765358187949,-0.04319440143201114,0.31485659218506695,-0.11432552190731873,-0.2811223507057786,0.22728346802137478,-0.21039834209798014,0.18546081905113188,0.18654675423623607,-0.014735415796047209,0.18770926184945858,-0.15550628649217554,0.24015883645093597,-0.08134602324513276,-0.02973195232789392,-0.1403280919746905,0.09551184706917848,0.04766469266853857,-0.12044003113283618,-0.02745356921432887,-0.0392698459510295,-0.162056011428272,0.18472037577193745,0.07322720405806896,-0.05183614803311462,-0.18841919922055536,-0.04111582193915969,0.4260980132764817,0.06867711000807306,0.28230298920305963,0.004847414413159487,-0.10125373268132384,0.056596892011383494,-0.0561989418989281,0.011029714748657188,-0.02154389962924521,0.0628246182553656,-0.010053632568271173,-0.014607223889258539,-0.03137058580187771,0.009528901693515335,-0.0032544324657056145,-0.008668404595705413,0.001412434075361057,0.020296724437933955,-0.017283886764820858,-0.003234240447238801,-0.02407135430776841,0.005597267586555248,-0.003905939017899346,0.01971033928071962,0.00820808611138707,0.0028440272369792963,0.017709441515648294,-0.003068752250307921,0.006413394545922976,-0.006728868816961189,0.004369944038120521,0.00048404204046768526,-0.0012184147973886943,-0.0012906684504143118,0.00023825072319694218,-0.0013071667413678267,0.0005722016946724043,-0.0006852315265222231,-0.0003434814421601137,0.0015829187733493177,0.0004510863917996221,-2.6550739820201813e-05,-0.00012024585298202155,-6.325103163128381e-05,0.00012072549910732493
