,Score
occ_total_sum,0.07978154373297006
oldest_phylostratum,0.01738220752505133
PC 1,0.003589981103968176
PC 2,0.0003170791252956551
PC 3,0.0067501162033691
PC 4,0.006712103239517342
PC 5,-0.0007335348279552845
PC 6,0.007150746596030283
PC 7,0.0017995509570340519
PC 8,0.002192913668431323
PC 9,0.010961673767240703
PC 10,-0.0003217344838823688
PC 11,-4.122511719086841e-05
PC 12,0.004610082797751924
PC 13,0.005804806548562908
PC 14,-0.00021848246588985766
PC 15,0.0008437013765122236
PC 16,0.0010645111909760086
PC 17,0.0017654320970124592
PC 18,0.001251850157467671
PC 19,0.002713428458105216
PC 20,0.00025881274326089996
PC 21,0.0006458158564332184
PC 22,0.0015972790783791268
PC 23,0.00026523273227239686
PC 24,0.0025701406323555775
PC 25,0.0008923695049354696
PC 26,0.00164307852487805
PC 27,0.000881356751108564
PC 28,0.00025023136783038357
PC 29,0.0022694592530702108
PC 30,0.0004929319765087315
PC 31,0.00032570418893703714
PC 32,-0.0005484828779862783
PC 33,-0.00010630541775430991
PC 34,0.0003557306450903519
PC 35,-0.00016542400545517256
PC 36,0.0007183511160849976
PC 37,9.615907088778575e-05
PC 38,-7.281577624103641e-05
PC 39,0.0022688060188341573
PC 40,0.0043605851658542975
PC 41,-0.0013300744837675903
PC 42,-0.00014972992442058297
PC 43,0.0003983557519280756
PC 44,-7.450017041880086e-05
PC 45,0.0037546604117225323
PC 46,6.479020527281887e-05
PC 47,0.0001617331140624123
PC 48,-1.8688665316529684e-05
PC 49,1.9080716639102712e-05
PC 50,-0.00046375613126894977
PC 51,0.00021462946701609198
PC 52,-9.394835535984081e-05
PC 53,-1.243078663443198e-06
PC 54,0.0006942841006726486
PC 55,-0.00019887351416396083
PC 56,0.00012837161155328513
PC 57,0.0010840053432984499
PC 58,-0.0017395737697861902
PC 59,0.00055795279415648
PC 60,-0.00026898972751213666
PC 61,0.0005593293613997796
PC 62,0.00020005438705705258
PC 63,0.0003990248890479664
PC 64,3.48294935771043e-05
PC 65,-0.0006229212638414527
PC 66,0.00379197269339539
PC 67,2.0474790915492314e-05
PC 68,-6.555145901417924e-05
PC 69,0.00012698529824840544
PC 70,0.008640259818567902
PC 71,5.62527086494069e-05
PC 72,-0.0004918337771320725
PC 73,0.0011233551405328557
PC 74,0.0005865996152880748
PC 75,-3.442112941643427e-05
PC 76,0.00023398455345733372
PC 77,0.00016309439457200535
PC 78,-0.00023249969603130748
PC 79,0.0024273429804536006
PC 80,0.00010132476358814534
