,Top Variables PCA 95%,Scores PCA 95%,Top Variables PCA 100%,Scores PCA 100%,Top Variables No PCA,Scores No PCA
0,occ_total_sum,0.053656537939904256,TGT_freq,0.09989042453347055,GTG_freq,0.08416568787274324
1,oldest_phylostratum,0.025895810674286424,GTG_freq,0.09408394569684893,TAT_freq,0.0840122028601033
2,cds_length,0.008465781173429377,AGT_freq,0.08379065777267783,TGT_freq,0.07696573039965161
3,repeat_cds,0.0057792523247703785,ATA_freq,0.08190779734936265,ATA_freq,0.06592421772427033
4,TCT_freq,0.003693153684546935,CCA_freq,0.07435341967335622,AGG_freq,0.06456137375414718
5,TCG_freq,0.0023581559605459377,TAT_freq,0.06782925556061462,TTG_freq,0.06306930367250226
6,CAA_freq,0.0021717833078956804,AGG_freq,0.0646057631250651,TGC_freq,0.06169924531613352
7,H3k4me1_cds,-0.0021284309462757944,TTA_freq,0.06447243496423824,AAT_freq,0.06110340451527756
8,H3k4me1_gene,-0.0021132576197088306,GTC_freq,0.06044972221598346,CGG_freq,0.05652855546892664
9,ATA_freq,0.0016813490914917351,CTG_freq,0.057807592286703825,AGA_freq,0.05514854041575111
10,dnase_cds,0.001680796561392628,AGA_freq,0.05648765030044774,GAT_freq,0.053187788364502796
11,CAC_freq,-0.0016347240515927285,TTG_freq,0.051166298125578935,TGG_freq,0.05057521018755708
12,CCA_freq,0.0016128353592061774,AAG_freq,0.049009430976644106,AAG_freq,0.04690861439907111
13,TAG_freq,0.0015535446293436506,TGG_freq,0.044884969580897674,CCA_freq,0.04465401322384336
14,TGG_freq,0.0015205628326602993,occ_total_sum,0.04486101270871236,occ_total_sum,0.04420992767050417
15,ACT_freq,0.0013785200948821519,TAC_freq,0.04340896762895704,CTG_freq,0.04146099337457767
16,TGT_freq,0.0013635167775764346,GCA_freq,0.04312618125415587,GTC_freq,0.04090101355798337
17,lamin_gene,-0.0013574814488019782,GTT_freq,0.04193473521871195,AGT_freq,0.04065310868325213
18,CTC_freq,0.001309581339443422,TGC_freq,0.03966461740126468,GTT_freq,0.039303385614429406
19,CGA_freq,0.0010739910056600354,GAG_freq,0.039620787214652876,TTA_freq,0.039033542255208664
20,GGG_freq,-0.001029108560688896,CGG_freq,0.038681841167298614,TAC_freq,0.03728601539744092
21,TTC_freq,0.0010087074493382753,GGC_freq,0.03635087833924429,TGA_freq,0.03692449448669002
22,AGA_freq,0.0009948516945460395,AGC_freq,0.035405806955251695,TAA_freq,0.031006039833537467
23,GTA_freq,0.000647480271487777,AAT_freq,0.03330665408930876,AGC_freq,0.030668102793612817
24,repeat_gene,0.0006452276487761366,TAA_freq,0.031722165619574416,GAG_freq,0.029124055379485092
25,TAC_freq,0.0006422949890195206,CAA_freq,0.030489679828653925,GGC_freq,0.025616471414154674
26,GTG_freq,0.0006245715235336901,CGT_freq,0.02876260713383928,TAG_freq,0.02456975256764641
27,ACC_freq,0.0005835567892560678,TGA_freq,0.02839338545314215,GCA_freq,0.023693183544111485
28,AAA_freq,0.0005643457427343179,GAT_freq,0.02809725945632876,ATT_freq,0.023393807609616412
29,TAA_freq,0.0005498949555276744,TAG_freq,0.027042544546510706,oldest_phylostratum,0.022393243959322618
30,GAT_freq,-0.0005457297286269979,GCG_freq,0.0262938242314234,TTC_freq,0.021685305940604038
31,CGT_freq,0.0005316614622581262,GGA_freq,0.02587839028875517,CGT_freq,0.02108014128384007
32,TTA_freq,0.00048087119545832114,ATT_freq,0.02258411618538535,CAA_freq,0.018380399820441894
33,GAG_freq,0.0004738158111162516,GGT_freq,0.022069996263544646,TCC_freq,0.018215186156478724
34,AGG_freq,0.00046225518135099006,CCG_freq,0.021664294800201732,CGC_freq,0.01702692189562003
35,transcription_gene,-0.00042383308830752365,oldest_phylostratum,0.020669131774367123,GCG_freq,0.015591554358501791
36,ACG_freq,0.00042298304200119043,CAC_freq,0.018127389306659525,TCT_freq,0.01553160323069489
37,AGC_freq,0.000415630141451917,CTA_freq,0.016730540315944897,GGA_freq,0.015310952704002534
38,GCC_freq,0.0003869835809305333,TCC_freq,0.01569209157786631,CTA_freq,0.014278029789086755
39,nsome_cds,0.000381543284570407,TCT_freq,0.015463003987594159,ACA_freq,0.012664032360952149
40,GGT_freq,-0.0003758054720031101,GTA_freq,0.013813995305269755,CCG_freq,0.01223673818612605
41,CGG_freq,-0.00035655192316602635,CCT_freq,0.013643779006021206,nsome_cds,0.011383626465237573
42,GCA_freq,0.0003545968166615454,nsome_cds,0.013485813380049238,GAA_freq,0.01064645119699741
43,CAT_freq,-0.0003468613952745447,GCT_freq,0.01272994683888391,CAC_freq,0.009809160498577307
44,ATC_freq,0.00033113553860842916,ACA_freq,0.011961965743033964,cds_length,0.008433828468052417
45,GTT_freq,-0.00030078888547454554,TTC_freq,0.011615543926490524,GTA_freq,0.007881906825568741
46,ATG_freq,-0.0002973461979341674,CGC_freq,0.01063848467338684,CTC_freq,0.007613244769358984
47,CCT_freq,0.00024230569960295156,cds_length,0.010336777814302945,GCT_freq,0.007119375731985955
48,CTA_freq,0.00024107313245886887,CTC_freq,0.009933866782095246,GAC_freq,0.006625591073399395
49,TTG_freq,0.0002360153569365364,TCA_freq,0.009822453714574275,repeat_cds,0.0065004573330227685
50,AAT_freq,0.0002344427712699493,dnase_gene,0.005873449183866975,CAT_freq,0.006015490257625278
51,GAA_freq,0.00021778186366702145,H3k4me1_gene,0.005657633156311126,AAC_freq,0.005073105780621856
52,AAG_freq,0.00021042896311775915,repeat_cds,0.004396630520374567,ACC_freq,0.00474824745260437
53,TCC_freq,0.00020868636818990315,ATG_freq,0.0035678724732135848,ATG_freq,0.0045491135164690165
54,ATT_freq,-0.00020834634966742093,GCC_freq,0.002890206063130418,GGT_freq,0.0033703418690912645
55,AAC_freq,-0.00020537118759548224,ACC_freq,0.002432575356953981,CAG_freq,0.003333215203032147
56,repli_gene,0.00019925085419026934,AAC_freq,0.0023134715889872037,CCT_freq,0.0030186088975742266
57,CTG_freq,-0.00019236547910949086,H3k27ac_cds,0.0018182721514292122,TCA_freq,0.00225017128893652
58,TGA_freq,0.00018688268043397515,repli_gene,-0.0015297007364696636,H3k27ac_cds,0.002084029458321879
59,H3k4me3_gene,0.0001725168978579661,CCC_freq,0.0014596677209051778,CGA_freq,0.001508228619259222
60,GGA_freq,0.00016945673115542625,H3k4me1_cds,0.0013969170500106377,H3k4me1_gene,0.001265091145965136
61,ACA_freq,-0.00015441091153438612,nsome_gene,-0.0013913361877401775,CTT_freq,-0.0011061215122029177
62,CCG_freq,0.00012967456402181998,lamin_gene,0.0011102512953385713,ATC_freq,-0.0009407390906667646
63,GGC_freq,-0.00012924954086874775,CGA_freq,0.0007409615553455095,dnase_cds,-0.0008263214561753718
64,TAT_freq,-0.0001270394204724523,H3k4me3_cds,-0.0005823153364136857,lamin_gene,-0.0008179257669188367
65,AGT_freq,0.00012482930007610138,CAT_freq,-0.0005619656069153822,nsome_gene,0.0007396644424417454
66,CCC_freq,0.00011790142267994463,transcription_gene,0.0005565889225328635,CCC_freq,-0.0007214386245583126
67,H3k27ac_cds,-0.000115733804599083,H3k4me3_gene,0.0004297263948242369,ACT_freq,0.0006922013750366718
68,CAG_freq,0.00011560629765303699,GAC_freq,0.00038739351272406577,AAA_freq,-0.0006201418913674206
69,TCA_freq,-0.0001116110800136072,GAA_freq,0.0003476468838710889,TCG_freq,0.0005427243547553417
70,nsome_gene,-9.074244319461356e-05,H3k27ac_gene,-0.00031191575348105127,H3k4me3_cds,0.00054036174873342
71,TGC_freq,-8.500463062729446e-05,CTT_freq,-0.00026236858600686697,GCC_freq,-0.00043412885653246744
72,CTT_freq,-8.440959821290895e-05,GGG_freq,0.0002361657570541853,repli_gene,0.00033152425215074997
73,H3k4me3_cds,7.901180416802767e-05,recomb_gene,-0.0002265693963208637,recomb_gene,-0.0002964648663609681
74,CGC_freq,-7.442155411419016e-05,CAG_freq,-0.0002264332777288769,GGG_freq,-0.0002753279803431763
75,GAC_freq,4.5179961178354325e-05,repeat_gene,0.00021921899235493035,repeat_gene,-0.0001056844300888704
76,GTC_freq,-4.466993339463654e-05,AAA_freq,-0.00020655996330245507,H3k4me3_gene,8.76695591714105e-05
77,recomb_gene,3.315180594460898e-05,ATC_freq,-0.00019464958650573517,H3k27ac_gene,8.480068043050792e-05
78,GCG_freq,-3.1791731854591274e-05,TCG_freq,-8.330457828077397e-05,transcription_gene,-3.257021158825646e-05
79,GCT_freq,-2.5118868350393343e-05,ACG_freq,1.946495865058351e-05,ACG_freq,-2.919506012837303e-05
80,H3k27ac_gene,-1.7510953909227744e-05,dnase_cds,2.6543125432709756e-06,dnase_gene,-1.5863211861688597e-05
81,dnase_gene,-1.1900648287854754e-05,ACT_freq,-2.6543125432598735e-06,H3k4me1_cds,-8.437878649847352e-06
