,LR PCA 95% EV,LR PCA 100% EV,LR NO PCA
occ_total_sum,0.08959767295347473,0.07936165569389933,0.08949957806632151
oldest_phylostratum,0.017028332080988216,0.01846050372470487,0.01664853353662566
cds_length,0.012678598894319066,0.01603906720830972,0.015577814686269615
dnase_gene,-0.00045353427147200033,0.0077885799422711234,-0.00023072144720285293
dnase_cds,0.0007064353780439015,4.5935461035545576e-05,-0.0008622564428891144
H3k4me1_gene,-0.0013684396639327301,0.006413474457324186,0.0026905787892652078
H3k4me3_gene,0.00014244252961465587,0.0008297775680056685,-1.5877649604978394e-05
H3k27ac_gene,-3.566949326339608e-05,0.00027697865407884105,0.0012129758008170622
H3k4me1_cds,-0.0014031577993381338,0.0026937184270664494,0.0003432864490063303
H3k4me3_cds,0.00010090386813726426,-0.0006781244045428014,0.000589791793315797
H3k27ac_cds,-7.452099044458205e-06,0.0021843418458226517,0.0014501369658936891
lamin_gene,4.422190073407606e-05,0.0009316948271738901,0.0009028157794742087
repli_gene,-1.006903572418616e-05,-0.000988278541829596,0.00042319391361773093
nsome_gene,-3.2771935932052185e-05,-0.005022353916460887,0.001389453601293017
nsome_cds,0.0011257662704229731,0.011948169644930956,0.00959753205303599
transcription_gene,-0.00020155817688585209,0.0024125742609072296,-3.52897773029881e-05
repeat_gene,0.0005283294810002337,-0.0003025859529090791,-0.0004949818545057494
repeat_cds,0.0045513323519765,0.002667467717139277,0.0035335982141277977
recomb_gene,2.8291138917707626e-05,-0.00045105132831433915,-0.00042634835116082124
AAA_freq,0.0007579888006625957,-0.0005571554545442559,0.0016455231826609407
AAC_freq,-0.00016839137309102026,0.0027501822277997746,0.015123011899612182
AAG_freq,-0.00019745226322230857,0.06309628392328295,0.06772488845896082
AAT_freq,0.00013296918800974057,0.048523249242127864,0.08934445722326775
ACA_freq,-0.0012492690742765822,0.026299205390780473,0.024765513146487072
ACC_freq,0.0004589817895644166,0.010701476596916398,0.012265027643117354
ACG_freq,0.00012630896410013582,0.0005654563128823121,8.122813868501887e-05
ACT_freq,0.001737452101014708,0.0009151301954824443,-0.0005171452915408381
AGA_freq,0.0008976255958091983,0.05880680302569654,0.06731979322632158
AGC_freq,-2.4082328533509002e-05,0.0408073813418308,0.045897507699708094
AGG_freq,0.0005971012088281768,0.07403687639806142,0.0827346773264577
AGT_freq,0.0001366446566276658,0.09418651022836826,0.06473038621140703
ATA_freq,0.0010574815542655324,0.12097281744109542,0.10695076706454631
ATC_freq,0.0011433775643641397,0.00114985911071942,0.00030413541467312345
ATG_freq,0.0018024055140702655,0.0064875720409482305,0.006313064592236073
ATT_freq,8.164868971562434e-05,0.03848981345560585,0.05105002958003844
CAA_freq,0.0019412481712156426,0.06350140799837017,0.04776095475958135
CAC_freq,-0.0013004497868987386,0.03502212517101751,0.01600199771675014
CAG_freq,4.239008180346171e-05,0.013990634450075572,0.014766070210736176
CAT_freq,0.00015658191067888239,-0.0012182845236137108,0.005271059659110488
CCA_freq,0.0007647127688684751,0.10430331487759462,0.09015385136705176
CCC_freq,-3.216106637211613e-05,0.0027961976055097095,0.0008579621417482419
CCG_freq,5.981566475255495e-05,0.05704056106081146,0.05329284802619079
CCT_freq,0.0002985621446483677,0.030771669599833025,0.015400742575867005
CGA_freq,0.0002971512500250406,0.0007808904819364748,0.0048421210349081254
CGC_freq,-1.881396685404768e-06,0.027676619812222726,0.05696592172983779
CGG_freq,0.00012292512485655993,0.06543671916773618,0.09483167382204212
CGT_freq,0.00016180844413680174,0.04402780893277809,0.03179315888826846
CTA_freq,0.000223183716750075,0.055527447412319984,0.06420680028973631
CTC_freq,0.0011125545783295277,0.037436471367602295,0.03876341281465794
CTG_freq,-0.00011539486399052001,0.08887337063140804,0.08548705425321833
CTT_freq,-6.179482716752726e-05,0.0001057947423311223,4.132143968031965e-05
GAA_freq,0.00039341779866794435,0.0002382674449876665,0.008413625828814258
GAC_freq,5.652097853043325e-05,0.0031339663101387304,0.012775149099862399
GAG_freq,0.0005035885454004463,0.04935354369354546,0.051067527853993176
GAT_freq,0.0016712817285037096,0.0399400977063238,0.07616581202808427
GCA_freq,0.0005654473112483183,0.06866153243191511,0.05216585713829743
GCC_freq,-1.1734038443300677e-05,-0.0019405874436462579,0.0002674437406678776
GCG_freq,0.0005795278781055458,0.05018122708449337,0.051736894098161824
GCT_freq,7.229522751969752e-05,0.015156427223001024,0.015606826176135102
GGA_freq,0.0003940242859567011,0.04030495082943232,0.02832257398224265
GGC_freq,-6.102784696495611e-05,0.04074611964048754,0.04113506238109248
GGG_freq,-0.00017649898910728767,-1.5476150279125633e-05,6.698749494412625e-05
GGT_freq,-0.000719476509115663,0.025800865481301522,0.003454589696961391
GTA_freq,0.0009468706845596475,8.596059834425906e-05,0.0029716166529171585
GTC_freq,2.4597176840251977e-05,0.0838662806823622,0.0761476234410255
GTG_freq,0.0005580788971308703,0.10825563082564855,0.11160472688313108
GTT_freq,-0.0002856722905998199,0.05085856242607225,0.04859772495561654
TAA_freq,0.0007925584541174146,0.07428358735483694,0.08237519488321705
TAC_freq,0.00023228672398492578,0.08360128047631427,0.09172346693354853
TAG_freq,0.0011372154553916769,0.06135308699253354,0.06421237906090864
TAT_freq,8.467806732054273e-06,0.1031729726624138,0.1314990856033631
TCA_freq,-0.0008226450698702314,0.004843243947335462,-0.0010430675012874035
TCC_freq,0.00022051128529341213,0.043039549491433196,0.05691276863908414
TCG_freq,0.0012783962141699357,0.0011262543041956174,0.004666878563474974
TCT_freq,0.0023003294711883837,0.04179382446986889,0.04838718931737763
TGA_freq,-5.073465344833661e-05,0.043733835884125924,0.06687350661729534
TGC_freq,-9.924110252353402e-05,0.06709580071647167,0.10420316871202431
TGG_freq,0.0029661997978761567,0.061932511728119255,0.07624524132734697
TGT_freq,0.0006365350979133044,0.11656938604074352,0.10986552848131573
TTA_freq,0.00040398668881995724,0.11337058548794113,0.08462322540554737
TTC_freq,0.0003179603768158956,0.032713042680921955,0.05521735972487801
TTG_freq,0.0014062894354109178,0.0632597492001969,0.09077770609932262
