,cds_length,dnase_gene,dnase_cds,H3k4me1_gene,H3k4me3_gene,H3k27ac_gene,H3k4me1_cds,H3k4me3_cds,H3k27ac_cds,lamin_gene,repli_gene,nsome_gene,nsome_cds,transcription_gene,repeat_gene,repeat_cds,recomb_gene,AAA_freq,AAC_freq,AAG_freq,AAT_freq,ACA_freq,ACC_freq,ACG_freq,ACT_freq,AGA_freq,AGC_freq,AGG_freq,AGT_freq,ATA_freq,ATC_freq,ATG_freq,ATT_freq,CAA_freq,CAC_freq,CAG_freq,CAT_freq,CCA_freq,CCC_freq,CCG_freq,CCT_freq,CGA_freq,CGC_freq,CGG_freq,CGT_freq,CTA_freq,CTC_freq,CTG_freq,CTT_freq,GAA_freq,GAC_freq,GAG_freq,GAT_freq,GCA_freq,GCC_freq,GCG_freq,GCT_freq,GGA_freq,GGC_freq,GGG_freq,GGT_freq,GTA_freq,GTC_freq,GTG_freq,GTT_freq,TAA_freq,TAC_freq,TAG_freq,TAT_freq,TCA_freq,TCC_freq,TCG_freq,TCT_freq,TGA_freq,TGC_freq,TGG_freq,TGT_freq,TTA_freq,TTC_freq,TTG_freq
PC 70,-0.00838955409706119,0.0009859745571886534,0.002953601746551182,-0.0008763236950681125,0.0032466714007831493,-0.0013060602873913585,0.002004673802308732,-2.799122817545574e-05,0.000718524886524019,0.0002382507231970532,-0.0007507139431923437,-0.0014689164159810697,0.0017027241612729005,0.00017705654817030958,-0.0010888116662022412,0.002203597642051053,-0.0002812732804000906,0.0005160987238718717,-0.06243386729559225,-0.08279089965902164,0.042316834726413566,0.031024182581354504,-0.025427401194948518,-0.055181042187375906,0.04434085896988267,-0.32059026564292464,-0.1261070246544165,-0.2162180882978995,-0.019223047459120856,-0.023991366435326858,-0.04521480302669381,0.0021256410933024605,0.005127845281501814,0.04550779132609187,-0.034504856346773194,-0.01327999223676811,0.06439926513914723,0.08042914316227248,-0.0016773417889534292,-0.07011410236341724,0.11780154496161074,-0.07057287405525836,-0.009428159429676716,-0.12437660038323917,0.045590218359105136,0.01576198103159815,-0.014498984467480165,0.09107478219983,0.05052022259558275,0.42733604208629183,0.13884890344396675,0.27443708203150063,0.26363444972187733,0.1084254948434629,0.10389047743319052,0.014647346371389897,0.17100475274832305,-0.01954917253917568,0.13548666631335493,0.001349727586089297,0.10730399445162421,0.047855753951485724,0.028936397551161078,0.11447184898292467,0.08382611974237544,-0.02147111316739589,-0.05554510875936214,-0.03773572341871033,0.028712871244090027,-0.012593003670966902,-0.07367690089692136,-0.0745320023200258,0.00879974603161477,-0.31839390332260536,-0.24501000131462597,-0.3135359722999089,-0.11280857444638698,-0.02739781281067437,-0.05539135007120939,-0.0010566873893331497
PC 69,0.007027841896311348,-0.0023924847664739055,0.000148670752669864,0.0004597236829687948,0.0004247192253613863,-0.003012109076949515,-0.001222917254907585,-0.005176284230494821,0.004301760081414099,-0.001290668450414284,0.001539959216884268,-0.0010959241234600875,0.0028964881213030813,-0.0011842090783879128,0.00012633130735899278,-0.0015064811244338144,0.0007074881959215629,-0.03773435017274955,-0.18441710643538536,-0.3199384973851267,-0.3342026887412249,-0.03780110580976706,-0.09148441021944473,-0.08062793962221741,-0.06745529327414851,0.10965152663540505,-0.15531542687754302,-0.14061013605848108,0.17548994218626757,0.04855348143213664,-0.01562743748711251,-0.025365039869995998,-0.0007133832420347375,0.21818834670544465,0.008139313827819017,0.02116759666349556,-0.03045647108209375,0.06431349895752728,-0.03123028045958296,-0.03124617824072023,-0.0022954529803442814,0.1250141300068906,-0.043224589353092584,-0.017462125362161414,0.20115529283107564,0.058003279800332874,0.013205152651479028,0.04837983370151244,0.04779438122827681,0.15889759790181107,-0.0865861051617869,-0.13623147527662444,-0.1303233036494412,0.07221796794707326,0.008026131149624,-0.007045757121135782,0.026544764663359977,0.19945988568624423,-0.05150682729082426,-0.02368351788542008,0.23116059455750435,-0.13061995411732844,-0.19416369877805678,-0.30581512862205174,-0.21159547271412452,0.14056432042969924,-0.035629010706935575,-0.015827604944289107,-0.07953780433120543,0.012887830527034017,-0.05630009072531729,-0.03665551060179555,-0.0562170420344327,0.1264310871567368,-0.1176212399643393,-0.09056312414879375,0.27682914993992047,0.021277181785390516,-0.043851077412927986,-0.04144054492045332
PC 79,-0.000331064648355829,-0.00018736934968003487,0.0005693757531134264,-0.00011449722731414133,0.0006750176567409047,-0.0004607070100821559,0.0002494551490669801,-0.0011883138975688975,0.0004054961613275789,-6.325103163115978e-05,-0.0002623183441625926,-1.8792879024382043e-05,8.018896458088232e-05,-0.00030238945622898354,-2.407180059851334e-05,3.8224172069149624e-05,-4.5105533935772477e-05,-0.0008285467567253485,0.0194166395433488,-0.006967481660787634,0.004047873883569702,-0.039584701270969094,-0.052162665122298044,-0.0225443486055263,-0.04061311425172546,-0.0006185457073512503,0.003357202797818145,0.002726208527112129,0.0003705927431068498,-0.3691217457663723,0.13152709519277728,-0.0006557375049529718,0.010317640466842679,0.017838519436931426,0.03876319890389325,0.015990011894867873,0.017018473155046586,0.018902538829838833,-7.820950879315614e-05,0.03602665105969263,0.002244530825328623,0.0025708326491358235,0.011941169173032652,0.009404010505803738,0.002866153405371996,-0.2103334800096907,0.21751094073360686,0.054922156547781584,0.03707785658769499,0.006625499788447328,0.022430881566765176,-0.00021697573943089965,0.006218756655382452,-0.01543916683448971,-0.0636392059405608,-0.013087814455886825,-0.03658785529246845,-0.003379424134945491,0.0007654126008958453,-0.0007546440222141676,-0.001257008551075911,-0.20732349971548913,0.10826154994173982,0.005046768200946648,0.009697397189849511,0.35145831609485534,0.261293082628878,0.21056072883706103,0.38169312342417305,-0.182604402852472,-0.20430916099329632,-0.10930201942098144,-0.2131885193519655,-0.008250202479128346,-0.004811855606743298,-0.005023656914341378,-0.0051875957286395165,-0.37620957094111857,0.14806978921214994,-0.009462827649085084
PC 77,0.0008399258388431646,0.0005222733359487597,-0.0007835265139155868,-0.0008871840535459707,-8.266155041229337e-05,0.0010021994776725027,0.0002818255416649103,-0.0002828556383018613,-0.0008908040005431994,-2.655073982028508e-05,-0.0009153011485293037,-9.116986462311301e-05,0.0011142111981553553,-1.9206652980219285e-05,0.00011429647916849292,-0.00046358587595298276,7.144039293210253e-05,0.0013216671909020983,-0.14706103711421614,-0.0013331286337501039,0.014237838690018025,0.3438727680633768,0.1960635631213409,0.20422582718581947,0.1592458123387222,0.06986392919982307,-0.08342182550191973,0.019710587741537514,0.006683124020563688,-0.04547696369751188,0.059527371632859594,0.00011304606149294127,-0.015021775201688209,-0.18613144233868031,-0.3393929744173384,-0.22665089947653627,-0.15172325400789216,0.1725253345595945,0.0007528875548902664,0.11571605261720087,-0.004427641398791905,-0.050659015352218346,-0.31771181776679613,-0.14499092109608172,-0.06247088013667429,-0.04457458016174539,0.05615202807406846,-0.0422680469757688,-0.03159019066446872,-0.0692184846537379,-0.1801586598959851,-0.055595049351226666,-0.02792971632017373,0.23649690233481516,0.21838195868575128,0.3090779945600209,0.13048352980693284,0.025469995376384315,-0.1614884276300218,0.0015927474116244405,-0.005564134488170724,-0.023125816276694883,0.04859015981348242,0.0017168031465091202,-0.007146654737025117,0.03203401309881028,-0.09402664701645923,0.01759181541150706,0.04765869183364195,0.08427680923192174,-0.049277124675821585,0.014240290347596277,-0.05583248929858941,0.033597975989414774,-0.10650630547394782,0.009523664990674988,-0.0015257070343112807,-0.031064123074727994,0.08102792776327174,0.011678820913177235
PC 66,0.017538122955708595,0.003544152220908238,-0.0003032739107746152,-0.0010482020987952756,0.013567509239005557,-0.0033506908711237737,0.0005471681414639384,-0.006799767098327081,-0.0008428464070278086,0.004369944038120133,-0.011325999423061284,0.002783251501585593,-0.002514529515407371,-0.002218119254619441,-0.006975248792877722,0.018348686740713528,-0.0018985988099741585,0.0233672476279618,-0.0924193316947253,0.15723689127431678,-0.3164896474253001,0.024205134442736725,-0.03669818981276626,-0.01926164930758803,-0.06271480448046758,-0.18026997493275715,-0.3014686753943177,-0.26068661237570623,-0.35260179463012176,0.06928882304741024,0.01787521780990957,0.02055157612617526,-0.010786255395084196,0.11793632592685357,-0.004376760315065322,0.26451421266019276,-0.10809997115964187,0.108204532630276,0.02197445272229686,0.04407421565107561,-0.04126191690009487,0.10433731539965307,0.016697622697995785,0.0454914722315682,-0.12590417970337642,0.0326275983011709,0.01450091960068266,0.003126165316945463,-0.01639100886625488,0.0673949444412619,-0.07391693419623183,0.19038150008468524,-0.187616982784855,0.07006066287808367,0.0029376127454840808,0.03519569857727117,-0.05526294235300974,0.12981698609485584,-0.040705049184835786,0.025114851882499876,-0.15779185241682625,0.11698069360057071,0.10776995865738243,0.16797606784816066,0.09548024225447112,0.18265940340681033,0.04063690198927839,0.17378703861184655,-0.034692638145128185,0.12440423211390426,0.04949432317611223,0.03503692471447348,0.012492891172248886,0.23962542590615818,0.09189879041607171,0.11212394133399467,-0.1500765526743592,0.07915949628212024,0.053252078433105116,0.04648289112852785
PC 71,0.003302030659698675,0.0018730937842307907,-0.0013758525265618032,-0.0005885923568532438,0.001897858718767173,0.001516322848207359,0.0009722518132722277,-0.003863120229582323,-0.0024814483329793774,-0.0013071667413678129,0.0006080103503207646,-0.0025824549588873286,0.0026691360507535705,0.0002629090831896899,-0.00024959414603334396,-0.0012885227295111878,0.0005236356703930689,-0.01601158960491885,0.011437243940006059,-0.11338382327157236,-0.23776521812406437,0.010190195969855723,0.03232402072129663,0.03747303006460186,-0.04586691961307783,-0.2535341506138577,0.1299503847664599,0.15374490163835677,0.047435094836318095,0.0720205943737452,0.11638873953399369,-0.00900119601001963,0.05238547558704345,-0.03775846406582696,-0.018364925045625258,-0.1347946704808836,-0.19030488687773334,-0.03364143169690519,-0.0077028892913957175,0.028057843663462513,-0.13176672465453143,-0.21320099886626892,-0.059409222385140514,-0.01852763666509069,-0.048166089967950784,-0.03700995318750784,0.019433399327821337,-0.2236561351389148,-0.07888707468460832,0.37255602261215903,0.1910042531677926,0.20563300343059457,0.04279194727725713,-0.016324802764556612,0.005329670549529704,0.04536591454965931,-0.1144148325678877,-0.3325743650036573,-0.04848016985631278,-0.0012268617036557856,-0.046915931303529494,-0.055215898766235096,-0.012045279974487084,-0.17433671859231714,-0.09589993258095464,0.08723447653195693,0.0707931451526503,0.009371423286273176,-0.08180170691518449,0.04299007691441975,0.06544269305337344,0.04965997392942244,-0.026482514332760325,-0.06111030477984809,0.27430090661623263,0.2684297219041861,0.16653372679283165,0.01993219210652779,0.08991862629040277,-0.05509041503241578
PC 73,0.001984122165876596,-0.0013832865515660503,0.000500233463889898,-4.5991068292295864e-05,0.0011261090765376236,-0.0012767166963415025,0.0006180434542042909,-0.0014391204326213505,0.0007845878216474408,-0.000685231526522001,0.0006983049615148992,-0.00042131378698719024,-0.001197806500141143,-0.00013938085882472806,-0.0007755292880151608,0.0012176146085939726,0.00023485366799622098,-0.0017114161131565608,-0.22203923047642576,-0.021666933529819632,-0.06677589268023504,0.050422285256698174,0.2510847409824928,0.20065314694807657,0.3035591516229837,-0.015739998657505583,0.05514429552070233,-0.03988058100607897,-0.00751217929068905,0.03428950609889822,0.09237361695607069,-0.00172926021460032,0.20029161808758394,0.21751896967498763,-0.050319047617751855,0.24670127270126885,0.1442266754048431,-0.27433990233152417,-0.004281793218185559,0.015073686093037948,0.17844814726370223,-0.0319984815380369,0.018408488565719666,-0.10323681709183094,-0.028929814215102392,-0.09839079353076001,-0.0743294119301019,-0.3250188304262094,-0.028845828040198723,0.03478076773280343,-0.19692055931415625,0.009835094205429051,-0.026206692292602706,-0.22892541627727445,-0.045015862934781437,-0.020532935485946494,0.13273148166165882,0.029424353517776315,0.14588128665968572,-0.001328210714352851,0.016223033573412357,0.00395721711472022,0.057854548505586564,-0.026637573738047055,0.10159211942927285,0.015101242831953424,-0.16303539939078804,8.801755341366051e-05,-0.03525612786420476,-0.2674190553237879,-0.05915341269481996,-0.029129725116401828,0.07280331470800219,0.03184051609837968,0.10647178143587624,0.001066156356958281,0.024897682963852613,-0.1302035919724327,-0.036033157390777226,-0.17062618706605284
PC 74,0.0007899853648920455,-0.00013353951402968016,0.000294669299784526,0.0014122444893018868,-0.0015659456561475044,0.0006388444952244235,-0.0014158560292906412,0.0010980941545569757,-0.0003756702026966371,-0.0003434814421601224,-1.3564196213854823e-06,-0.000837674439045949,0.0010219007187096396,-0.0004736889736180871,7.238922940293498e-05,-0.0003404073309323588,-1.4121628453336865e-06,-0.004842202278249073,0.12312675759377484,0.043432339847702325,-0.008911835842924626,-0.08037735023723977,-0.17259457016357524,-0.16646645554775769,-0.016330479784016905,-0.003526542128598667,-0.14171505818347951,0.07903325510531198,-0.0104961414668608,0.10169429106104814,0.09666498008048494,-0.0035028445754868576,0.3474552848327018,-0.07201383626752783,0.0763122377348627,-0.04727029594055514,-0.06995745604757231,0.1276822250238159,-0.002827997009446498,-0.07203535047822622,0.2219237532099691,0.08006583486679264,-0.010796541750458827,0.27058807725512796,0.06082445563920512,-0.01781965632859862,-0.010538672190631624,-0.22220125705988897,0.1327354165412252,-0.05480917519256464,0.09408210768228381,-0.001716633089214284,-0.03647942327923158,0.1441044103307293,0.09240158941205803,0.0008700926375731777,0.2592118962836746,-0.08186494688930734,-0.34114831866808265,-0.004575986624475295,-0.05686174441655202,0.04586151213968467,0.05930217806555098,-0.02690431294917811,0.19028451255284848,-0.09794659714555969,0.029479439558709214,-0.04247161931134092,-0.11055440020630411,-0.05258159937302501,-0.15742303731091803,-0.12272049528157655,0.001614222551695993,0.03782084725372685,-0.10905328501915507,0.12059401014899168,0.02195265951320432,-0.17181743832664853,-0.13997169500894885,-0.2980750515958452
PC 75,0.0004832944732165423,0.0002187985852859191,-0.000980217110463221,0.0003928968769516552,0.0018674394018107613,-0.0018444233678943213,0.0001778663799945259,-0.0019237851673357571,0.0011696611095011657,0.0015829187733489986,0.0004048821695788376,-5.171667437139579e-05,0.0003840033284800235,0.0002537847637329501,-0.0002572641034900066,0.00023855734443243085,0.00010258142983234596,-0.001409083611536941,0.06330917241115314,-0.007348212120443794,-0.003549498030189408,-0.13839208981734374,-0.05018737468918333,0.07355228375960389,-0.16304499772109782,0.023640767369763064,0.008446418198339713,-0.022392952271253163,-0.0017332407503052281,0.06048501299954276,-0.024116257850628778,-0.00031868401954673886,0.2642299782690307,0.06915941297330248,0.13517840151043853,0.0784062344195978,0.057330462128379715,-0.10713795387412636,-0.0022118925572535836,0.24540256823644993,-0.21738732300758767,-0.12015167741621495,-0.3075882332365581,-0.3011068310207536,-0.11179138315561386,0.12121785173698149,0.11298296982358205,0.23161579485792935,0.31847782842876393,-0.01819276371829774,0.05074545646977845,-0.020389509601925277,-0.009959367384702877,-0.06524811232812003,0.03274636658952078,0.29537246560724995,-0.17755873626548957,0.036479359932709954,0.044344593742679725,0.00025859027065039397,0.01133083355510045,0.03715131195839499,-0.016167394540975582,0.0043815708705406894,0.16346910385563676,-0.055352801170949636,0.011663369108919866,-0.038527429860720996,-0.061595964199716316,-0.031520901844488955,0.0512569020091064,0.12626363012393743,-0.11017701438991265,0.010958772179977254,0.007073973180778195,-0.025153329643426425,-0.00686323174021285,-0.148014420250193,-0.2186625123335378,-0.22532273906812494
PC 78,0.0004233778641398401,0.00040357312015214275,-0.00029995040002380596,6.983885021896816e-06,-0.0002507024860273076,-0.0005780817734071832,0.0004446563527944541,0.00024211604340544993,0.0002631480843407969,-0.0001202458529821742,4.514273091320124e-05,0.0006677844698900863,-0.0006369316335661148,-0.0005601127041866055,4.0602839038104445e-05,7.133508833152141e-05,2.8708388928447293e-05,-0.001458170872579755,0.004487093184468549,-0.02722058693214477,-0.012960235780196283,0.028470061691016516,-0.23017386671441425,0.039192252777554,0.02401627547388464,0.01369872496982941,0.07051543507244806,-0.006268123692562719,0.004037029629483518,-0.0024937786283143817,-0.060979545619458904,-0.0005605449297329534,0.001816210667199128,-0.03393078370738647,-0.028210218197290356,-0.06354821939337522,-0.038282452606506846,0.342306944138435,-0.0007499987918859318,0.4572837736325562,0.3804434256414835,-0.048825697840779315,-0.029020428385420155,-0.121972701083431,-0.04304187992528631,-0.030433012413155755,-0.13208715605201157,-0.07630091497271624,-0.039861103219526614,0.01396554914288672,0.010056061439072225,-0.011020594619091023,1.7822934632837073e-06,-0.010363261902560528,-0.565955154085647,0.02744073012587897,-0.009210814029935427,0.014605011828169121,0.11722852347366,-0.0006135742906100312,0.007741684002609696,-0.0013192782685261632,-0.047073060322152055,0.0005172702795904621,0.003361349743522278,0.011340290955490898,0.01199269657544675,-0.001448580254203368,0.005099143058442213,0.11513359842021355,-0.154699526374274,0.08762070880591992,0.12895946376398848,0.0007876646189756489,0.06840213540568771,-0.015171309297518334,-0.0012616275870391408,-0.010355222400022589,-0.07255184512412573,-0.004002127734936772
