,SVM PCA 95%,SVM PCA 100%,SVM no PCA
occ_total_sum,0.025759293237499092,0.024461080397885693,0.01877688704080991
oldest_phylostratum,0.008203881906466814,0.0074519775778929985,0.007427135987670519
cds_length,0.006736829488786356,0.0047589760645421865,0.004869966313870789
dnase_gene,0.0011921049399165717,0.0018430649660792775,0.002267058371726105
dnase_cds,0.0010553749915526267,-6.505994043458641e-05,0.0010355396883812151
H3k4me1_gene,0.0010416892460216264,-7.723189239998707e-05,0.0010776104642413076
H3k4me3_gene,-8.015936668153145e-05,0.00044393337484940345,5.636135002509146e-05
H3k27ac_gene,0.0002553114080889096,0.00047200601054415704,0.0004129933778575845
H3k4me1_cds,0.0011494326153416612,0.0014465336295174992,0.0008502680852696565
H3k4me3_cds,0.00025356881316104254,9.296114018615409e-05,-0.00021857412107699757
H3k27ac_cds,0.0006122033497774181,0.0009530981260765681,0.0006911747905840815
lamin_gene,-0.000205031169073,0.00055236660890704,0.00017477498668952985
repli_gene,0.00034048604797741743,0.002523665660480534,0.0013750567512846091
nsome_gene,0.00013349977240009192,0.0013990030142724374,0.001697079453484651
nsome_cds,0.0005019098415385614,-0.001273983352712771,0.0012605635376210956
transcription_gene,0.00011356618651794381,-0.0003859880260565607,0.0008663291730479194
repeat_gene,0.0007099586749987452,0.0002853122684275511,0.0006606966633827871
repeat_cds,0.0015562647775237304,0.0010440020349446466,0.0017525555467029941
recomb_gene,0.00032416515889699404,-0.00031814225154540575,-0.0005107510223662182
AAA_freq,0.0005821967151660057,0.0005613241369378907,0.0022139851184115322
AAC_freq,0.00047883108432327236,0.0007357173501317593,0.0011287445835983846
AAG_freq,0.001097919809181569,0.0002830407421804959,0.0004649284438492551
AAT_freq,0.0002324026601348228,0.00023803880709727387,0.0008235839158112657
ACA_freq,-0.00027418243608826607,0.00029512697617423145,0.00046964981348482924
ACC_freq,0.0001974232546317456,-0.00025895399216453453,0.00018480789716517342
ACG_freq,0.0013390779462710723,-0.0005006358130542731,0.0003464304970126952
ACT_freq,4.0972231962288495e-05,0.00037261602248896966,0.0011065710083454472
AGA_freq,0.0009064893810089902,0.002235824711891188,0.003109527766079756
AGC_freq,3.1664224908589664e-05,0.0008251211944970804,-0.00019425063643639938
