,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__apply_PCA,param_pca__n_components,param_rf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,6.669488112131755,0.043308438234065404,0.17516199747721353,0.03707581439012156,True,0.5,,"{'pca__apply_PCA': True, 'pca__n_components': 0.5, 'rf__max_depth': None}",0.6646894352623477,0.6562305122440264,0.6636057006155334,0.6615085493739692,0.003758268852806853,31
1,4.758660713831584,0.23008065898769067,0.12052798271179199,0.0013360782460090208,True,0.5,10,"{'pca__apply_PCA': True, 'pca__n_components': 0.5, 'rf__max_depth': 10}",0.6761876093120426,0.6726810968888663,0.6702786001212194,0.6730491021073761,0.002426337196261881,19
2,5.387558460235596,0.25480594878704693,0.12189229329427083,0.0010120040939334718,True,0.5,20,"{'pca__apply_PCA': True, 'pca__n_components': 0.5, 'rf__max_depth': 20}",0.6637669163919251,0.65867946344401,0.6579760801020345,0.6601408199793232,0.002580066979305711,43
3,5.655724207560222,0.2350813713143132,0.12589550018310547,0.005839026541719637,True,0.5,30,"{'pca__apply_PCA': True, 'pca__n_components': 0.5, 'rf__max_depth': 30}",0.6655866663197697,0.6546325770584178,0.662154546843093,0.6607912634070936,0.0045747075812973504,37
4,6.2557432651519775,0.26319895668353593,0.1434484322865804,0.010124903381903146,True,0.7,,"{'pca__apply_PCA': True, 'pca__n_components': 0.7, 'rf__max_depth': None}",0.6646894352623477,0.6562305122440264,0.6636057006155334,0.6615085493739692,0.003758268852806853,31
5,5.768436113993327,0.33973560926368757,0.13192025820414224,0.007801877418873114,True,0.7,10,"{'pca__apply_PCA': True, 'pca__n_components': 0.7, 'rf__max_depth': 10}",0.6761876093120426,0.6726810968888663,0.6702786001212194,0.6730491021073761,0.002426337196261881,19
6,7.7242207527160645,0.09396286136106059,0.1756739616394043,0.05051705397440931,True,0.7,20,"{'pca__apply_PCA': True, 'pca__n_components': 0.7, 'rf__max_depth': 20}",0.6637669163919251,0.6586793418355484,0.6579760801020345,0.6601407794431693,0.0025800899396216247,48
7,8.703506310780844,0.22675829634119563,0.217272679011027,0.0436972828480572,True,0.7,30,"{'pca__apply_PCA': True, 'pca__n_components': 0.7, 'rf__max_depth': 30}",0.6655866663197697,0.6546325770584178,0.662154546843093,0.6607912634070936,0.0045747075812973504,37
8,8.720628102620443,0.6134203985630216,0.1308476130167643,0.011706160785817064,True,0.9,,"{'pca__apply_PCA': True, 'pca__n_components': 0.9, 'rf__max_depth': None}",0.6646894352623477,0.6562305122440264,0.6636057006155334,0.6615085493739692,0.003758268852806853,31
9,5.714253981908162,0.5257238319919296,0.12279629707336426,0.0016612896073058064,True,0.9,10,"{'pca__apply_PCA': True, 'pca__n_components': 0.9, 'rf__max_depth': 10}",0.6761876093120426,0.6726810968888663,0.6702786001212194,0.6730491021073761,0.002426337196261881,19
