"","predictor","beta","se","P"
"occ_total_sum","occ_total_sum",0.346322437415112,0.0361679179035707,1.01459536717508e-21
"oldest_phylostratum","oldest_phylostratum",-0.23733149410708,0.0278600650836834,1.61356320808366e-17
"PC9","PC9",-0.174577426193162,0.0221626902895546,3.35103212435198e-15
"PC69","PC69",-2.20705371054353,0.365734851763861,1.5938343631152e-09
"PC6","PC6",-0.108145407996698,0.0198651605100474,5.21049660433581e-08
"PC3","PC3",0.0923939127389685,0.0206922819112491,8.00168253812503e-06
"PC66","PC66",-0.876748506542408,0.207437538985195,2.37284406017238e-05
"PC4","PC4",0.071214517891188,0.0190127713934729,0.000179952533120674
"PC25","PC25",-0.118438420819612,0.0336256393359799,0.00042787580481846
"PC68","PC68",-1.06048905284283,0.306356855256484,0.000536947482753047
"PC15","PC15",-0.100190264432489,0.0299659513280704,0.000827375881487561
"PC23","PC23",-0.159726920579904,0.0517208244314033,0.00201337909533957
"PC78","PC78",2.17460011675091,0.81847335982012,0.00788633331808215
"PC44","PC44",-0.112783020595921,0.0457541873803656,0.0137022037950337
"PC59","PC59",-0.122116882987392,0.0505321728968993,0.0156655121322969
"PC8","PC8",-0.0587436130035243,0.0243265508241394,0.0157441040355203
"PC72","PC72",1.21756188610859,0.537494441061534,0.0234970453568473
"PC11","PC11",0.0490163565012754,0.0217640091170375,0.0243112173408043
"PC14","PC14",0.12345923729994,0.0554810711498619,0.0260644796550961
"PC22","PC22",0.109792635024092,0.0505885824860699,0.0299837757660666
"PC7","PC7",-0.0529687489056255,0.0246664403490559,0.0317613381146721
"PC39","PC39",0.121234860217321,0.05693086580906,0.0332120707592428
"PC76","PC76",-1.50404960934177,0.769783455581374,0.0507176983057424
"PC1","PC1",-0.0233540595587239,0.0125253000682524,0.0622443801480109
"PC37","PC37",-0.0669352577559514,0.0403065902002006,0.0967831687864793
"PC41","PC41",0.0687064773066308,0.04259949912752,0.106777737176035
"PC20","PC20",-0.125377166989049,0.0791599188287424,0.113228635560292
"PC61","PC61",-0.105361790472218,0.0677735918578344,0.120037972136832
"PC45","PC45",0.0709958218496202,0.0458994943607536,0.121919447433866
"PC34","PC34",0.0607279641051499,0.0394404739643476,0.123624430435311
"PC5","PC5",0.0257905454288198,0.016750630459948,0.123639324661259
"PC12","PC12",0.0943713209990666,0.0629112365649281,0.13359601426686
"PC46","PC46",-0.0926692717752035,0.0619240216546311,0.134523519891173
"PC70","PC70",0.54221493953208,0.367122378285623,0.139693755707819
"PC26","PC26",-0.0948645054330523,0.0643594680040031,0.14048724063648
"PC24","PC24",0.0910535950898142,0.0636748758914582,0.152723678596749
"PC30","PC30",-0.071547835877668,0.0508475542954492,0.159396325728138
"PC27","PC27",0.043262895941465,0.0319411170435758,0.175590359813287
"PC63","PC63",-0.361252528004691,0.275719201340795,0.19012177006391
"PC2","PC2",-0.0333337457347894,0.0270172010664301,0.217278500895119
"PC38","PC38",-0.0505661700884676,0.0423279033681872,0.232231743812996
"PC19","PC19",-0.0885649758410847,0.0749630728265507,0.237424781364117
"PC10","PC10",-0.0275028681350857,0.0257680323010167,0.285825049152334
"PC43","PC43",0.052779067585543,0.0518152325135047,0.308392246654956
"PC51","PC51",-0.0646752823385045,0.0647846907797381,0.318128478708095
"PC50","PC50",0.0689555349410661,0.072033771508784,0.338432629144572
"PC56","PC56",0.0528250655427482,0.0563377265691225,0.348424341456106
"PC79","PC79",0.66583683784842,0.878190242832815,0.448336035258087
"PC35","PC35",-0.0438274539059698,0.057905608504524,0.449123238766809
"PC18","PC18",0.0392632694466121,0.0521388663610046,0.45141876072881
"PC75","PC75",-0.519642683895338,0.723309371638527,0.472496002252684
"PC17","PC17",-0.0250415891984175,0.0354477675842504,0.479916863451896
"PC48","PC48",-0.0364192609313691,0.0561544759918587,0.516626110282683
"PC65","PC65",-0.0502490534841061,0.079131967023345,0.525426318053305
"PC77","PC77",0.507137114312988,0.833946445167479,0.543109795323354
"PC47","PC47",-0.0227830418448318,0.038562638835763,0.554650354488542
"PC31","PC31",0.0431948017081993,0.0739013716518061,0.558888971164252
"PC74","PC74",0.338061461619866,0.589696244340781,0.566454667222931
"PC40","PC40",0.0214223540628313,0.0375094748135859,0.567919335716603
"PC57","PC57",0.0443441593223317,0.0821603643038494,0.589385380925225
"PC53","PC53",-0.0390847972494343,0.0740015346688325,0.597386913747247
"PC36","PC36",-0.0217737458204946,0.0505175596971169,0.666458617746687
"PC67","PC67",-0.13416533372385,0.314432935467153,0.669605263740474
"PC29","PC29",0.0120728638858971,0.0288129402526329,0.675209996130864
"PC55","PC55",0.0251404699045388,0.0628037478556702,0.688934047790916
"PC21","PC21",0.0333361937309401,0.084118323462093,0.691882831553317
"PC60","PC60",-0.0200994751576797,0.051802892100676,0.69801670469927
"PC52","PC52",0.0316440594210888,0.0934075722112513,0.734779968682078
"PC62","PC62",-0.0298848979513271,0.0934956631624003,0.74924170090113
"PC54","PC54",-0.0192171450558973,0.0632529952629939,0.76126960553008
"PC73","PC73",0.161884395712139,0.543827639995483,0.765950520033246
"PC42","PC42",0.0165236122704142,0.0557519199237202,0.766941838823457
"PC58","PC58",-0.0169083740296259,0.064498017469465,0.793203185152684
"PC16","PC16",0.0114054914280941,0.0573688354450571,0.842411465270947
"PC13","PC13",-0.00886151906979169,0.0467462207645235,0.849648813275184
"PC64","PC64",0.00762463778243166,0.0766950224692212,0.92080875150078
"PC49","PC49",0.00460182969773647,0.0587052673567117,0.937518860522627
"PC71","PC71",-0.0277571740552055,0.408863028727604,0.945874244691457
"PC32","PC32",-0.00259896223886066,0.0600506399173353,0.965478724991069
"PC33","PC33",-0.00138309454213219,0.0689522372156561,0.983996519509707
"PC80","PC80",299541902629.642,53906513389231.1,0.995566423898065
"PC28","PC28",-0.000114263371876725,0.0370066556914127,0.997536420578353
